date,ticker,adj_close
2018-03-27,WMT,86.05
2018-03-26,WMT,87.5
2018-03-23,WMT,85.42
2018-03-22,WMT,87.14
2018-03-21,WMT,88.18
2018-03-20,WMT,87.95
2018-03-19,WMT,87.45
2018-03-16,WMT,89.17
2018-03-15,WMT,87.51
2018-03-14,WMT,87.67
2018-03-13,WMT,88.3
2018-03-12,WMT,88.07
2018-03-09,WMT,88.72
2018-03-08,WMT,87.92
2018-03-07,WMT,87.74
2018-03-06,WMT,89.06
2018-03-05,WMT,89.98
2018-03-02,WMT,88.77
2018-03-01,WMT,89.08
2018-02-28,WMT,90.01
2018-02-27,WMT,91.52
2018-02-26,WMT,93.12
2018-02-23,WMT,92.89
2018-02-22,WMT,92.77
2018-02-21,WMT,91.52
2018-02-20,WMT,94.11
2018-02-16,WMT,104.78
2018-02-15,WMT,103.23
2018-02-14,WMT,101.7
2018-02-13,WMT,100.98
2018-02-12,WMT,99.55
2018-02-09,WMT,99.37
2018-02-08,WMT,100.02
2018-02-07,WMT,102.85
2018-02-06,WMT,100.9
2018-02-05,WMT,100.09
2018-02-02,WMT,104.48
2018-02-01,WMT,105.52
2018-01-31,WMT,106.6
2018-01-30,WMT,107.73
2018-01-29,WMT,109.55
2018-01-26,WMT,108.39
2018-01-25,WMT,106.6
2018-01-24,WMT,105.79
2018-01-23,WMT,105.9
2018-01-22,WMT,105.45
2018-01-19,WMT,104.59
2018-01-18,WMT,104.3
2018-01-17,WMT,102.7
2018-01-16,WMT,100.69
2018-01-12,WMT,100.87
2018-01-11,WMT,100.02
2018-01-10,WMT,99.67
2018-01-09,WMT,100.39
2018-01-08,WMT,101.61
2018-01-05,WMT,100.13
2018-01-04,WMT,99.54
2018-01-03,WMT,99.45
2018-01-02,WMT,98.59
2017-12-29,WMT,98.75
2017-12-28,WMT,99.4
2017-12-27,WMT,99.26
2017-12-26,WMT,99.16
2017-12-22,WMT,98.21
2017-12-21,WMT,98.06
2017-12-20,WMT,98.75
2017-12-19,WMT,98.8
2017-12-18,WMT,97.9
2017-12-15,WMT,97.11
2017-12-14,WMT,97.13
2017-12-13,WMT,97.76
2017-12-12,WMT,96.7
2017-12-11,WMT,96.93
2017-12-08,WMT,96.55
2017-12-07,WMT,96.78
2017-12-06,WMT,97.28
2017-12-05,WMT,97.83
2017-12-04,WMT,97.01
2017-12-01,WMT,97.35
2017-11-30,WMT,97.23
2017-11-29,WMT,97.56
2017-11-28,WMT,96.77
2017-11-27,WMT,96.62
2017-11-24,WMT,96.62
2017-11-22,WMT,96.41
2017-11-21,WMT,96.52
2017-11-20,WMT,97.48
2017-11-17,WMT,97.47
2017-11-16,WMT,99.62
2017-11-15,WMT,89.83
2017-11-14,WMT,91.09
2017-11-13,WMT,90.99
2017-11-10,WMT,90.92
2017-11-09,WMT,90.3
2017-11-07,WMT,88.95
2017-11-06,WMT,88.7
2017-11-03,WMT,89.68
2017-11-02,WMT,88.8
2017-11-01,WMT,87.94
2017-10-31,WMT,87.31
2017-10-30,WMT,86.95
2017-10-27,WMT,88.17
2017-10-26,WMT,88.62
2017-10-25,WMT,88.52
2017-10-24,WMT,87.98
2017-10-23,WMT,88.65
2017-10-20,WMT,87.44
2017-10-19,WMT,86.4
2017-10-18,WMT,86.22
2017-10-17,WMT,85.98
2017-10-16,WMT,85.74
2017-10-13,WMT,86.62
2017-10-12,WMT,86.1
2017-10-11,WMT,85.73
2017-10-10,WMT,84.13
2017-10-09,WMT,80.53
2017-10-06,WMT,79.0
2017-10-05,WMT,79.41
2017-10-04,WMT,79.09
2017-10-03,WMT,79.22
2017-10-02,WMT,78.45
2017-09-29,WMT,78.14
2017-09-28,WMT,78.95
2017-09-27,WMT,79.29
2017-09-26,WMT,79.39
2017-09-25,WMT,79.15
2017-09-22,WMT,79.53
2017-09-21,WMT,80.01
2017-09-20,WMT,80.5
2017-09-19,WMT,80.05
2017-09-18,WMT,80.0
2017-09-15,WMT,80.38
2017-09-14,WMT,79.68
2017-09-13,WMT,79.86
2017-09-12,WMT,79.61
2017-09-11,WMT,79.08
2017-09-08,WMT,78.88
2017-09-07,WMT,80.12
2017-09-06,WMT,80.08
2017-09-05,WMT,79.8
2017-09-01,WMT,78.37
2017-08-31,WMT,78.07
2017-08-30,WMT,78.54
2017-08-29,WMT,78.77
2017-08-28,WMT,78.03
2017-08-25,WMT,78.63
2017-08-24,WMT,78.34
2017-08-23,WMT,79.96
2017-08-22,WMT,80.02
2017-08-21,WMT,79.71
2017-08-18,WMT,79.31
2017-08-17,WMT,79.7
2017-08-16,WMT,80.98
2017-08-15,WMT,80.77
2017-08-14,WMT,80.7
2017-08-11,WMT,80.4
2017-08-10,WMT,80.66
2017-08-09,WMT,81.61
2017-08-08,WMT,81.083291524598
2017-08-07,WMT,80.775216755967
2017-08-04,WMT,79.980185094983
2017-08-03,WMT,80.367763029713
2017-08-02,WMT,80.029874573794
2017-08-01,WMT,80.000060886508
2017-07-31,WMT,79.49322820263
2017-07-28,WMT,79.314346078909
2017-07-27,WMT,79.284532391622
