Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DD,DIS,DJI,DOW,GE,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM,intercept
2020-01-06,74.94999694824219,240.3000030517578,124.05999755859375,333.739990234375,148.33999633789062,173.4499969482422,47.79999923706055,120.5999984741211,61.720001220703125,145.64999389648438,28703.400390625,52.209999084472656,97.12000274658203,233.9499969482422,219.9600067138672,177.50999450683594,128.2026824951172,59.93000030517578,144.10000610351562,138.22999572753906,54.66999816894531,202.3300018310547,178.6199951171875,87.4427490234375,159.02999877929688,101.83000183105469,36.88804626464844,122.75,96.71491241455078,137.1699981689453,291.54998779296875,189.19000244140625,60.27000045776367,59.59000015258789,117.6500015258789,70.87000274658203,1
2020-01-07,74.59750366210938,238.0399932861328,123.41000366210938,337.2799987792969,146.3800048828125,176.0,47.4900016784668,119.05999755859375,60.77000045776367,145.6999969482422,28583.69921875,52.189998626708984,96.4000015258789,235.49000549316406,218.52000427246094,177.61000061035156,128.28871154785156,58.93000030517578,144.97999572753906,135.8800048828125,54.25,202.6300048828125,177.89999389648438,85.114501953125,157.5800018310547,101.77999877929688,36.764705657958984,121.98999786376953,96.40654754638672,135.16000366210938,289.7900085449219,188.69000244140625,59.599998474121094,59.290000915527344,116.55999755859375,70.29000091552734,1
2020-01-08,75.79750061035156,238.22000122070312,125.54000091552734,331.3699951171875,147.67999267578125,177.3300018310547,47.52000045776367,117.69999694824219,61.5,145.39999389648438,28745.099609375,52.72999954223633,95.5199966430664,237.75999450683594,221.7899932861328,177.75999450683594,129.35946655273438,58.970001220703125,144.9600067138672,136.94000244140625,54.349998474121094,205.91000366210938,180.6300048828125,84.54198455810547,160.08999633789062,101.55000305175781,37.05882263183594,122.51000213623047,96.5512924194336,136.61000061035156,295.8999938964844,191.9199981689453,59.709999084472656,55.83000183105469,116.16000366210938,69.2300033569336,1
2020-01-09,77.40750122070312,238.92999267578125,127.80999755859375,336.3399963378906,147.30999755859375,179.60000610351562,47.31999969482422,117.51000213623047,60.95000076293945,144.8300018310547,28956.900390625,52.189998626708984,95.27999877929688,242.60000610351562,225.19000244140625,179.07000732421875,130.72657775878906,59.29999923706055,145.38999938964844,137.44000244140625,55.34000015258789,208.35000610351562,181.1999969482422,85.28626251220703,162.08999633789062,101.4800033569336,36.89753341674805,123.8499984741211,96.69603729248047,137.6199951171875,294.2200012207031,193.25,58.849998474121094,54.68000030517578,117.36000061035156,69.76000213623047,1
2020-01-10,77.5824966430664,238.25999450683594,127.27999877929688,329.9200134277344,146.1300048828125,180.1999969482422,47.130001068115234,116.44000244140625,59.709999084472656,144.6199951171875,28823.80078125,51.5,93.36000061035156,242.11000061035156,224.22000122070312,178.67999267578125,130.67877197265625,58.939998626708984,145.05999755859375,136.07000732421875,55.529998779296875,207.27000427246094,180.47000122070312,85.42938995361328,161.33999633789062,100.9000015258789,37.466793060302734,123.97000122070312,95.56954193115234,135.50999450683594,295.1300048828125,193.77000427246094,58.9900016784668,54.220001220703125,116.37999725341797,69.13999938964844,1
2020-01-13,79.23999786376953,236.9199981689453,128.5399932861328,330.2200012207031,146.82000732421875,183.85000610351562,47.970001220703125,116.66000366210938,60.400001525878906,143.8800048828125,28907.099609375,52.349998474121094,96.95999908447266,245.2100067138672,223.33999633789062,181.27000427246094,130.5927276611328,59.59000015258789,145.6999969482422,137.1999969482422,56.130001068115234,206.50999450683594,180.9199981689453,85.4103012084961,163.27999877929688,102.16000366210938,37.390892028808594,124.87999725341797,95.6891098022461,136.25999450683594,285.8500061035156,195.3300018310547,59.150001525878906,54.060001373291016,115.87999725341797,69.80000305175781,1
2020-01-14,78.16999816894531,240.0,128.8000030517578,332.3500061035156,146.67999267578125,182.1199951171875,47.790000915527344,116.30000305175781,60.16999816894531,145.1999969482422,28939.69921875,52.2400016784668,96.23999786376953,245.66000366210938,222.80999755859375,180.4499969482422,129.84703063964844,59.43000030517578,146.52000427246094,138.8000030517578,56.0,207.32000732421875,181.3699951171875,85.81106567382812,162.1300048828125,102.91999816894531,38.0170783996582,124.69000244140625,95.36815643310547,136.64999389648438,288.239990234375,196.0500030517578,59.040000915527344,54.619998931884766,116.18000030517578,69.19999694824219,1
2020-01-15,77.83499908447266,241.6999969482422,129.82000732421875,329.79998779296875,145.57000732421875,181.05999755859375,48.0099983215332,116.12999725341797,61.13999938964844,144.32000732421875,29030.19921875,52.27000045776367,94.95999908447266,245.2100067138672,224.58999633789062,180.72999572753906,130.6118621826172,58.939998626708984,147.00999450683594,136.72000122070312,56.70000076293945,209.77000427246094,179.77999877929688,87.34732818603516,163.17999267578125,102.79000091552734,38.58633804321289,125.95999908447266,95.63247680664062,137.57000732421875,296.4100036621094,199.8000030517578,59.099998474121094,54.43000030517578,115.27999877929688,69.08999633789062,1
2020-01-16,78.80999755859375,240.5,130.5500030517578,332.0,147.8699951171875,182.69000244140625,49.04999923706055,116.88999938964844,61.70000076293945,145.1199951171875,29297.599609375,52.47999954223633,94.72000122070312,249.72000122070312,228.82000732421875,182.25999450683594,131.91204833984375,59.65999984741211,148.1999969482422,137.25,56.81999969482422,210.85000610351562,181.00999450683594,87.00381469726562,166.1699981689453,103.37000274658203,38.52941131591797,126.06999969482422,96.63310241699219,138.85000610351562,300.739990234375,200.9499969482422,59.66999816894531,54.41999816894531,115.9000015258789,68.81999969482422,1
2020-01-17,79.68250274658203,241.49000549316406,131.52000427246094,324.1499938964844,147.77999877929688,182.22999572753906,49.02000045776367,115.58000183105469,61.560001373291016,144.3300018310547,29348.099609375,53.34000015258789,94.4800033569336,249.4600067138672,231.91000366210938,183.22999572753906,132.2275390625,59.599998474121094,149.1699981689453,138.1999969482422,56.939998626708984,211.97999572753906,181.35000610351562,86.80343627929688,167.10000610351562,104.52999877929688,38.43453598022461,126.41000366210938,97.16802978515625,140.72999572753906,298.4700012207031,204.6999969482422,60.130001068115234,54.40999984741211,114.95999908447266,68.55999755859375,1
