Date,Price,Volume
18/03/2021,120.53,121229700
19/03/2021,119.99,185549500
22/03/2021,123.39,111912300
23/03/2021,122.54,95467100
24/03/2021,120.09,88530500
25/03/2021,120.59,98844700
26/03/2021,121.21,94071200
29/03/2021,121.39,80819200
30/03/2021,119.90,85671900
31/03/2021,122.15,118323800
01/04/2021,123.00,75089100
05/04/2021,125.90,88651200
06/04/2021,126.21,80171300
07/04/2021,127.90,83466700
08/04/2021,130.36,88844600
09/04/2021,133.00,106686700
12/04/2021,131.24,91420000
13/04/2021,134.43,91266500
14/04/2021,132.03,87222800
15/04/2021,134.50,89347100
16/04/2021,134.16,84922400
19/04/2021,134.84,94264200
20/04/2021,133.11,94812300
21/04/2021,133.50,68847100
22/04/2021,131.94,84566500
23/04/2021,134.32,78657500
26/04/2021,134.72,66905100
27/04/2021,134.39,66015800
28/04/2021,133.58,107760100
29/04/2021,133.48,151101000
30/04/2021,131.46,109713200
03/05/2021,132.54,75135100
04/05/2021,127.85,137564700
05/05/2021,128.10,84000900
06/05/2021,129.74,78128300
07/05/2021,130.21,78892700
10/05/2021,126.85,88071200
11/05/2021,125.91,126142800
12/05/2021,122.77,112172300
13/05/2021,124.97,105861300
14/05/2021,127.45,81806500
