Date,aapl,nflx
2014-01-02,17.598297119140625,51.83142852783203
2014-01-03,17.211734771728516,51.871429443359375
2014-01-06,17.305593490600586,51.36714172363281
2014-01-07,17.18182945251465,48.5
2014-01-08,17.29064178466797,48.71285629272461
2014-01-09,17.06983757019043,48.150001525878906
2014-01-10,16.9559326171875,47.448570251464844
2014-01-13,17.04469871520996,48.11571502685547
2014-01-14,17.38385581970215,48.279998779296875
2014-01-15,17.732877731323242,47.1971435546875
2014-01-16,17.633934020996094,47.38285827636719
2014-01-17,17.201873779296875,47.1485710144043
2014-01-21,17.46912384033203,46.95857238769531
2014-01-22,17.546756744384766,47.67571258544922
2014-01-23,17.695337295532227,55.531429290771484
2014-01-24,17.37367820739746,55.1542854309082
2014-01-27,17.514619827270508,54.461429595947266
2014-01-28,16.114723205566406,58.11000061035156
2014-01-29,15.931780815124512,57.202857971191406
2014-01-30,15.900918960571289,57.810001373291016
2014-01-31,15.927005767822266,58.47571563720703
2014-02-03,15.956603050231934,57.76856994628906
2014-02-04,16.187578201293945,57.987144470214844
2014-02-05,16.308481216430664,57.77428436279297
2014-02-06,16.403541564941406,58.272857666015625
2014-02-07,16.633018493652344,61.42571258544922
2014-02-10,16.930999755859375,61.49142837524414
2014-02-11,17.154088973999023,61.99856948852539
2014-02-12,17.15280532836914,61.27571487426758
2014-02-13,17.42517852783203,62.36428451538086
2014-02-14,17.41109848022461,62.21571350097656
2014-02-18,17.475114822387695,62.407142639160156
2014-02-19,17.199214935302734,61.17571258544922
2014-02-20,17.000139236450195,62.13571548461914
2014-02-21,16.811304092407227,61.74714279174805
2014-02-24,16.884910583496094,63.85714340209961
2014-02-25,16.709199905395508,64.71857452392578
2014-02-26,16.55844497680664,64.11285400390625
2014-02-27,16.888761520385742,64.60428619384766
2014-02-28,16.842988967895508,63.66143035888672
2014-03-03,16.891639709472656,63.65571212768555
2014-03-04,17.003023147583008,64.99714660644531
2014-03-05,17.038867950439453,64.78571319580078
2014-03-06,16.987335205078125,64.35857391357422
2014-03-07,16.977413177490234,64.0528564453125
2014-03-10,16.99277687072754,62.849998474121094
2014-03-11,17.15825653076172,62.49714279174805
2014-03-12,17.174890518188477,62.36857223510742
2014-03-13,16.984132766723633,61.43714141845703
2014-03-14,16.793380737304688,60.64142990112305
2014-03-17,16.85898780822754,60.388572692871094
2014-03-18,17.008148193359375,60.03571319580078
2014-03-19,17.003660202026367,60.012855529785156
2014-03-20,16.921724319458008,60.61000061035156
2014-03-21,17.05518913269043,57.99856948852539
2014-03-24,17.257471084594727,54.128570556640625
2014-03-25,17.44310760498047,52.977142333984375
2014-03-26,17.276350021362305,53.182857513427734
2014-03-27,17.202096939086914,52.02571487426758
2014-03-28,17.182891845703125,51.26714324951172
2014-03-31,17.17905616760254,50.290000915527344
2014-04-01,17.336204528808594,52.09857177734375
2014-04-02,17.365013122558594,51.84000015258789
2014-04-03,17.24466896057129,50.66999816894531
2014-04-04,17.021583557128906,48.18714141845703
2014-04-07,16.754331588745117,48.28571319580078
2014-04-08,16.75336456298828,49.8414306640625
2014-04-09,16.97357177734375,50.432857513427734
2014-04-10,16.754648208618164,47.81856918334961
2014-04-11,16.630781173706055,46.672855377197266
2014-04-14,16.69704246520996,47.36857223510742
2014-04-15,16.57797622680664,46.61000061035156
2014-04-16,16.611581802368164,47.34428787231445
2014-04-17,16.80137825012207,49.39142990112305
2014-04-21,17.000776290893555,49.78428649902344
2014-04-22,17.01774024963379,53.271427154541016
2014-04-23,16.795299530029297,50.5
2014-04-24,18.17220687866211,49.15285873413086
2014-04-25,18.305675506591797,46.01142883300781
2014-04-28,19.014612197875977,44.887142181396484
2014-04-29,18.958288192749023,45.69571304321289
2014-04-30,18.88658905029297,46.005714416503906
2014-05-01,18.931079864501953,48.07428741455078
2014-05-02,18.96628189086914,48.66428756713867
2014-05-05,19.234495162963867,49.1971435546875
2014-05-06,19.024856567382812,46.59857177734375
2014-05-07,18.958288192749023,45.79142761230469
2014-05-08,18.92449188232422,45.9514274597168
2014-05-09,18.84563636779785,46.93571472167969
2014-05-12,19.08026885986328,49.349998474121094
2014-05-13,19.110191345214844,49.5914306640625
2014-05-14,19.113733291625977,50.26856994628906
2014-05-15,18.951204299926758,49.16999816894531
2014-05-16,19.23089027404785,49.98285675048828
2014-05-19,19.45876121520996,52.07143020629883
2014-05-20,19.46261978149414,53.0957145690918
2014-05-21,19.51412582397461,55.79999923706055
2014-05-22,19.545015335083008,55.97142791748047
2014-05-23,19.765806198120117,57.478572845458984
2014-05-27,20.135934829711914,56.97285842895508
2014-05-28,20.083799362182617,57.31999969482422
2014-05-29,20.449735641479492,59.31428527832031
2014-05-30,20.373138427734375,59.689998626708984
2014-06-02,20.233135223388672,60.29428482055664
2014-06-03,20.519254684448242,59.65285873413086
2014-06-04,20.753564834594727,60.45857238769531
2014-06-05,20.834989547729492,61.19285583496094
2014-06-06,20.77770233154297,61.4471435546875
2014-06-09,21.11017417907715,60.441429138183594
2014-06-10,21.234086990356445,61.18428421020508
2014-06-11,21.14622688293457,61.42856979370117
2014-06-12,20.792510986328125,60.349998474121094
2014-06-13,20.56496238708496,61.1014289855957
2014-06-16,20.772233963012695,61.46571350097656
2014-06-17,20.745197296142578,63.378570556640625
2014-06-18,20.76772117614746,64.0971450805664
2014-06-19,20.69563102722168,63.05571365356445
2014-06-20,20.481603622436523,62.88285827636719
2014-06-23,20.463577270507812,62.788570404052734
2014-06-24,20.33966636657715,62.33714294433594
2014-06-25,20.357688903808594,63.45857238769531
