DATE,DEXCHUS,DEXJPUS,DEXKOUS,DEXMAUS,DEXUSEU,DEXUSUK,DEXTHUS,DEXSZUS,CNY_SFR,YEN_SFR,WON_SFR,MYR_SFR,EUR_SFR,GBP_SFR,THB_SFR,USD_SFR,JPY_SFR,ret_USD_SFR,ret_YEN_SFR,ret_CNY_SFR,ret_WON_SFR,ret_MYR_SFR,ret_EUR_SFR,ret_GBP_SFR,ret_JPY_SFR,ret_THB_SFR
1999-01-05,8.2795,111.15,1166.0,3.8,1.176,1.6566,36.18,1.3694,6.0460785745582015,81.16693442383526,851.4677961150869,2.774937929020009,0.6209581831856447,0.44081059001950873,26.42033007156419,0.7302468234263181,81.16693442383526,-0.002044691105593688,-0.010943088866578132,-0.0020205838668438947,-0.020112934592945053,-0.002044691105593688,0.00236803645074235,-0.0011410734771126751,-0.010943088866578132,-0.0025960476298447777
1999-01-06,8.2795,112.78,1160.0,3.8,1.1636,1.6547,36.5,1.3852,5.977115218019059,81.41784579844067,837.424198671672,2.7432861680623737,0.6204171645307607,0.43628295923611105,26.349985561651746,0.721917412647993,81.41784579844067,-0.011406295119838372,0.003091300372331407,-0.011406295119838372,-0.016493398232429124,-0.011406295119838372,-0.0008712642324938402,-0.010271147939520442,0.003091300372331407,-0.002662514424380924
1999-01-07,8.2798,111.69,1151.0,3.8,1.1672,1.6495,36.3,1.3863,5.972588905720262,80.56697684483878,830.2676188415205,2.741109427973743,0.618012839538108,0.43731105565861156,26.184808483012333,0.7213445863088797,80.56697684483878,-0.000793479044939871,-0.010450644391996278,-0.0007572737238110694,-0.008545943431660152,-0.000793479044939871,-0.0038753360321214236,0.0023564899814116913,-0.010450644391996278,-0.006268583269351091
1999-01-08,8.2796,111.52,1174.0,3.8,1.1554,1.6405,36.45,1.397,5.926700071581961,79.82820329277021,840.3722261989979,2.720114531138153,0.6195426808528723,0.4363423428573049,26.09162491052255,0.7158196134574087,79.82820329277021,-0.007659269863994123,-0.009169681934216634,-0.007683240025837201,0.012170301633076308,-0.007659269863994234,0.002475419953908542,-0.002215157354866659,-0.009169681934216634,-0.0035586883345064546
1999-01-11,8.2797,108.83,1175.0,3.8,1.1534,1.6375,36.28,1.3963,5.929742891928668,77.94170307240563,841.5097042182912,2.721478192365537,0.6209281009841698,0.4373608987329108,25.98295495237413,0.7161784716751414,77.94170307240563,0.0005013249301724088,-0.023632001505105138,0.0005134088632723355,0.0013535407094997787,0.0005013249301724088,0.0022361980443224017,0.002334304456762304,-0.023632001505105138,-0.004164936393233121
1999-01-12,8.2795,112.07,1180.0,3.8,1.1548,1.6308,36.46,1.389,5.960763138948884,80.68394528437724,849.532037437005,2.735781137508999,0.6234347112986071,0.4414657864898402,26.249100071994242,0.7199424046076314,80.68394528437724,0.005255579553635759,0.0351832472716711,0.0052312971381001105,0.009533262870885295,0.005255579553635759,0.004036876911295062,0.009385584694063365,0.0351832472716711,0.010243065891002212
1999-01-13,8.2794,113.46,1175.0,3.8,1.1698,1.6493,37.05,1.3585,6.094516010305484,83.5185866764814,864.9245491350754,2.797202797202797,0.6292579921900274,0.4463141934541284,27.27272727272727,0.736105999263894,83.5185866764814,0.022451232977548807,0.03513265721096359,0.022438883786982,0.018118812498830295,0.022451232977548807,0.009340642710269575,0.010982520305454768,0.03513265721096359,0.03899665885403669
1999-01-14,8.279,113.25,1187.5,3.8,1.1689,1.653,37.05,1.3618,6.079453664267881,83.16199148186224,872.0076369510942,2.7904244382435013,0.6282164604246686,0.4442360681127617,27.206638272874137,0.7343222205903951,83.16199148186224,-0.0024232633279481774,-0.004269650730566954,-0.0024714589332661685,0.008189255147286412,-0.0024232633279482885,-0.0016551744726100992,-0.00465619371251369,-0.004269650730566954,-0.0024232633279481774
1999-01-15,8.279,114.19,1185.0,3.8,1.1591,1.65,36.55,1.3785,6.005803409503082,82.83641639463184,859.6300326441784,2.756619513964454,0.6258529789365738,0.4396522350820501,26.514327167210734,0.7254261878853826,82.83641639463184,-0.01211461733768604,-0.003914950585345411,-0.01211461733768604,-0.014194376038027756,-0.01211461733768604,-0.0037622087878709243,-0.010318462096481684,-0.003914950585345411,-0.025446403878337964
1999-01-18,8.279,114.19,1185.0,3.8,1.1591,1.65,36.55,1.3785,6.005803409503082,82.83641639463184,859.6300326441784,2.756619513964454,0.6258529789365738,0.4396522350820501,26.514327167210734,0.7254261878853826,82.83641639463184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-19,8.2787,113.76,1176.5,3.8,1.161,1.655,36.45,1.3752,6.01999709133217,82.72251308900525,855.5119255381036,2.7632344386271086,0.6263281287971142,0.4393758051561629,26.505235602094242,0.7271669575334497,82.72251308900525,0.0023996509598605,-0.00137503902974212,0.0023633277450656465,-0.004790557506940241,0.0023996509598605,0.0007592036413213155,-0.0006287467771785016,-0.00137503902974212,-0.0003428925448176745
1999-01-20,8.2791,113.45,1168.0,3.8,1.1575,1.6467,36.5,1.3902,5.955330168321105,81.6069630269026,840.166882462955,2.7334196518486547,0.6214435948274764,0.4368257490816808,26.255215076967342,0.7193209610128039,81.6069630269026,-0.010789814415192223,-0.013485446953266145,-0.010742018979407075,-0.017936679334419336,-0.010789814415192112,-0.007798682104568355,-0.005803815423053971,-0.013485446953266145,-0.009432873145528431
