Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-31,154.11858825518294,155.10167547885445,153.8039931432622,155.03285217285156,18369400,0.0,0
2020-01-02,156.0946110032498,158.0116283696278,155.65222468804302,157.9034881591797,22622100,0.0,0
2020-01-03,155.64237221844996,157.24479414895765,155.386759946787,155.93728637695312,21116200,0.0,0
2020-01-06,154.4233303596309,156.40917059045546,153.8629634872781,156.34034729003906,20813700,0.0,0
2020-01-07,156.6254482164306,156.96951971032271,154.6592739631531,154.9148712158203,21634100,0.0,0
2020-01-08,156.24204624344722,158.0804295638007,155.278624958373,157.38243103027344,27746500,0.0,0
2020-01-09,159.10283049238149,159.47640843247342,158.30653225226584,159.34860229492188,21385000,0.0,0
2020-01-10,160.066277577318,160.4595064876718,158.4540000429918,158.61129760742188,20725900,0.0,0
2020-01-13,159.0241665179246,160.5479545481944,158.53262295981943,160.51846313476562,21626500,0.0,0
2020-01-14,160.62662397862042,160.83307889989675,158.9848700834603,159.387939453125,23477400,0.0,0
2020-01-15,159.86963957028777,161.16732190634318,159.8204972096631,160.420166015625,21417900,0.0,0
2020-01-16,161.57037782457576,163.42841192334774,161.25578273871923,163.35958862304688,23865400,0.0,0
2020-01-17,164.58847540204144,164.63763276761472,162.63212625771138,164.27389526367188,34371700,0.0,0
2020-01-21,163.8609694941221,165.3454407864997,163.61519769082466,163.68402099609375,29517200,0.0,0
2020-01-22,164.56879779626792,164.65728704831926,162.877886545254,162.89755249023438,24138800,0.0,0
2020-01-23,163.37926405667864,163.97894784829842,162.47482563338195,163.90029907226562,19680800,0.0,0
2020-01-24,164.6769450459332,164.6966109917559,161.66870036608117,162.24871826171875,24918100,0.0,0
2020-01-27,158.42449182682967,160.61678702172878,157.49056201322395,159.53538513183594,32078100,0.0,0
2020-01-28,161.01002673258122,162.9565352647437,160.3120431936017,162.66162109375,24899900,0.0,0
2020-01-29,165.00136832882964,165.8959813692757,162.88773664056163,165.19798278808594,34754500,0.0,0
2020-01-30,171.106328275174,171.106328275174,167.90145443801916,169.85780334472656,51597500,0.0,0
2020-01-31,169.2974449917105,169.48421894992597,166.71192098255298,167.35092163085938,36142700,0.0,0
2020-02-03,167.54753415098943,171.54870601307226,167.5180427368327,171.4307403564453,30107000,0.0,0
2020-02-04,174.14407364924753,177.58487900022678,173.32810943735737,177.07366943359375,36433300,0.0,0
2020-02-05,180.9175465250086,181.0846695584452,175.39260094641594,176.85739135742188,39186300,0.0,0
2020-02-06,177.90930673779397,180.71111149358097,177.01469371042657,180.52432250976562,27751400,0.0,0
2020-02-07,179.7575334690553,182.49051518594123,179.3937809378913,180.77993774414062,33529100,0.0,0
2020-02-10,180.47515828515685,185.6461917949718,180.15073769413414,185.50856018066406,35844300,0.0,0
2020-02-11,187.42558119503624,187.47473855846275,180.39651324595903,181.32061767578125,53159900,0.0,0
2020-02-12,182.44132537999928,182.70676312566155,178.77441430402317,181.58604431152344,47062900,0.0,0
2020-02-13,179.98361653739676,183.08033539193968,179.77716161342406,180.60296630859375,35295800,0.0,0
2020-02-14,180.15072093762643,182.27419279005164,179.56086264504626,182.2152099609375,23149500,0.0,0
2020-02-18,182.4708190352674,184.52546771961389,182.3626788413165,184.06341552734375,27792200,0.0,0
2020-02-19,185.384349242261,185.50263711315776,183.81697478610857,184.61544799804688,29997500,0.51,0
2020-02-20,184.29016099261793,184.58589574313538,178.523401045152,181.79615783691406,36862400,0.0,0
2020-02-21,180.56391122562206,180.88921789113775,174.72814098748864,176.049072265625,48572600,0.0,0
2020-02-24,165.38304353674084,172.06657935804597,160.90762831518185,168.45864868164062,68311100,0.0,0
2020-02-25,171.72154646456275,172.3524401893167,165.26473433425227,165.67877197265625,68073300,0.0,0
2020-02-26,167.29545444905895,170.79493472493115,165.81679572685005,167.7489013671875,56206100,0.0,0
2020-02-27,160.99635854607476,164.6535657939222,155.7323224016694,155.92947387695312,93174900,0.0,0
2020-02-28,150.24156587893097,161.3807963240442,149.8373956097144,159.70497131347656,97012700,0.0,0
2020-03-02,162.95803076633874,170.45975922746206,160.00071360755206,170.33160400390625,71030800,0.0,0
2020-03-03,171.32725270589452,172.51017662297045,159.95143034980848,162.16941833496094,71677000,0.0,0
