days,rates
0, 0.0182
29,0.01847649999999998
90,0.019839
121,0.020180000000000003
182,0.020259999999999997
217,0.0203579825
308,0.020435800249999997
399,0.020557992500000004
490,0.0206579525
581,0.020757892500000003
672,0.0208578325
763,0.0209577725
861,0.021057712500000002
1097,0.022015000000000003
1462,0.02297
1827,0.023859999999999996
2192,0.0247
2560,0.025494999999999997
2924,0.026244999999999997
3288,0.026949999999999998
3653,0.027595
4019,0.028215
4384,0.02879
4751,0.02929666666666667
5115,0.02974333333333333
5480,0.03013
5845,0.030443
6210,0.030716
6575,0.030928999999999998
6942,0.031112000000000004
7306,0.031255000000000005
7671,0.031357
8036,0.031429
8402,0.031491000000000005
8769,0.031523
9133,0.031545000000000004
9497,0.031551
9863,0.031536999999999996
10228,0.031523
10593,0.031499
10960,0.031465
12787,0.031210000000000005
14611,0.030844999999999997
18263,0.029930000000000005
21916,0.028929999999999997
