date,TBIL,AMZN,INTC,JNJ,JPM,KO,META,NFLX,PG,TSLA,XOM
09/02/24,0.0524,177.5800018,45.13915253,157.3638916,183.4504547,58.03744125,496.8207703,615.8300171,156.6674042,188.1399994,102.6924133
12/02/24,0.0523,174.1199951,42.71443939,157.4918823,185.2881012,57.75603867,488.8726807,598.5,156.4317474,180.7400055,103.9519577
13/02/24,0.0525,173.5099945,44.05050278,156.8716431,186.2511444,57.78514481,494.726532,597.6900024,156.6772308,176.5399933,105.0638962
14/02/24,0.0523,176.8200073,45.67357635,156.4089203,184.619873,57.67840576,510.7822876,608.5100098,157.7081757,178.6499939,105.6543121
15/02/24,0.0523,175.3500061,43.54576874,157.0488586,184.9638062,57.75603867,504.5594482,604.8200073,157.4430847,175.3399963,106.6481781
16/02/24,0.0524,171.9600067,44.39689255,158.7323456,185.0325928,58.45470047,482.2608643,600.9299927,158.6213379,177.7700043,107.2779465
20/02/24,0.0524,175.3899994,44.77297211,160.2189789,186.5557861,58.70699692,498.3764954,611.0800171,158.9944305,177.5399933,106.5891342
21/02/24,0.0524,176.5599976,42.78371811,158.6043854,188.0691528,59.30861664,494.2079773,609.4500122,159.3577118,169.4799957,107.7797928
22/02/24,0.0525,178.75,42.30867386,156.7436676,184.7181396,59.17657471,490.4782715,613.0100098,158.5722351,162.5,109.688797
23/02/24,0.0526,174.4199982,42.19980621,155.729599,187.007843,58.57013702,482.7695007,605.8800049,158.454422,163.5700073,109.4919968
26/02/24,0.0526,174.4799957,42.26908875,154.3315887,189.3269958,58.81467056,495.6141052,618.3900146,158.2874908,173.8000031,110.5055389
27/02/24,0.0525,175.8999939,41.61589813,153.7901306,190.4374542,58.9124794,494.8760986,620.7399902,158.8962402,171.3200073,111.2829132
28/02/24,0.0524,178.1499939,41.76435089,153.3470917,192.9335022,59.42110443,504.1306152,627.6900024,159.0533447,175.6600037,111.1845093
29/02/24,0.0525,178.1499939,41.98207855,153.3372498,195.616272,59.14723206,506.3644714,622.710022,158.925705,172.8200073,111.6765137
01/03/24,0.0523,178.8699951,42.13053131,152.8253021,193.2184906,59.16679382,508.1794434,628.0100098,158.7293243,170.8300018,111.6765137
04/03/24,0.0524,179.7100067,41.39817429,152.8154602,191.449646,59.07876205,501.6374817,627.460022,157.2859802,172.6300049,112.8179855
05/03/24,0.0523,178.3000031,41.55651855,153.3569489,192.3438721,59.21570206,494.5270996,629.2399902,157.6394501,177.6699982,111.9717255
06/03/24,0.0524,179.8300018,43.31814575,155.513031,196.0683289,59.69498062,492.502655,613.5300293,159.6621094,179.8300018,113.1328735
07/03/24,0.0524,180.3800049,43.71401215,155.7394562,196.8348236,59.84169769,484.2453918,607.3300171,159.3086243,175.7899933,114.382576
08/03/24,0.0524,180.9700012,44.06040192,155.3358002,195.4983521,59.35263443,489.9995422,614.3099976,157.6688995,175.2200012,115.1205902
11/03/24,0.0524,180.6900024,43.48638535,155.2865753,195.4197388,58.83423233,496.0030212,614.210022,157.6590881,166.6300049,117.3740005
12/03/24,0.0525,182.4100037,39.91366196,151.8703308,194.8694305,58.5212326,505.3472595,630.0800171,153.3192139,168.3800049,117.3936844
13/03/24,0.0525,180,39.31985092,150.1376038,193.3867645,58.00281906,509.5157776,617.1400146,152.631897,171.1100006,117.8069687
14/03/24,0.0525,185.0700073,38.31038284,150.0292969,195.1659546,58.20822906,525.890625,636.1799927,153.2701111,164.8999939,119.4306107
15/03/24,0.0525,185.1900024,37.58791733,149.241684,196.1840363,57.97348022,517.822876,628.4099731,153.2111969,172.9799957,118.6237106
18/03/24,0.0525,185.6699982,37.93430328,149.9308319,194.8694305,58.41363525,515.4793701,618.2000122,153.8199768,176.8800049,119.2436371
19/03/24,0.0524,185.9499969,36.81597137,147.87323,193.2088623,57.63113403,518.4012451,618.5800171,154.3894653,171.7599945,120.2473373
20/03/24,0.0524,189.0500031,37.24153137,146.4850616,193.1693115,57.75828934,521.7220459,628.7800293,153.0148315,174.6000061,119.843895
21/03/24,0.0525,186.1300049,35.32155609,145.2347412,180.6755371,57.00513458,510.4930725,622.8300171,152.5140686,171.0500031,118.4465866
22/03/24,0.0524,183.6199951,35.93515778,145.3036499,180.7743835,56.86819839,498.8551941,607.1500244,152.631897,161.4799957,117.7676086
25/03/24,0.0523,183.3200073,35.88566971,142.2122955,178.7085571,56.7899437,498.3864441,617.5200195,153.1228485,157.1100006,116.7934341
26/03/24,0.0522,181.2799988,35.31166077,142.5273438,177.9968872,57.23009872,492.8118591,613.6900024,154.1145325,155.4499969,116.7343826
27/03/24,0.0522,179.2200012,34.67826843,143.4823151,179.1533508,57.62135315,500.4208679,610.5599976,155.4357605,149.9299927,116.6261368
28/03/24,0.0523,174.6300049,33.84693909,145.6186981,183.6507263,58.85379028,479.7478027,555.039978,156.2757568,147.0500031,117.9644089
01/04/24,0.0523,177.2299957,34.05477142,146.8099518,187.2189636,59.22547531,480.4060059,554.5999756,158.6474609,142.0500031,118.6335449
02/04/24,0.0522,179.5399933,33.92611313,147.2431335,189.9173737,59.31350708,494.7365112,577.75,159.5961456,144.6799927,119.0960388
03/04/24,0.0522,176.5899963,34.14384079,146.2290955,190.8465118,60.20360565,492.1436462,555.1199951,160.6831818,162.1300049,119.1157227
04/04/24,0.0521,173.6699982,34.74754333,144.5455933,191.1331482,60.38945389,440.1669006,564.7999878,160.6337738,170.1799927,119.3912506
05/04/24,0.0523,179.6199951,31.55088997,143.8761139,191.25177,60.38945389,442.0716553,561.2299805,159.3886108,168.2899933,116.0750961
08/04/24,0.0523,180.9600067,31.0362587,144.5455933,191.0441895,60.68288803,431.4309692,559.4899902,159.7542572,194.0500031,117.7282486
09/04/24,0.0523,175,30.1554451,142.3501282,189.5220184,60.41879272,428.9877319,550.6400146,161.2761078,183.2799988,116.3801346
10/04/24,0.0525,179,30.0564785,148.8380432,189.640625,60.57529449,437.9829102,551.710022,161.4737396,179.9900055,114.1759338
11/04/24,0.0525,184.7200012,30.19503212,147.5975647,189.4429321,60.6339798,440.466095,565.1500244,161.9085541,180.0099945,114.382576
12/04/24,0.0525,186.2100067,30.5810051,146.9576263,188.3062286,60.81003952,450.717804,579.3400269,162.5212555,181.1900024,114.1464157
15/04/24,0.0525,188.6999969,30.77477646,146.2783203,189.7789917,60.98610306,464.400116,596.9699707,162.5014954,184.7599945,114.8844299
16/04/24,0.0525,188.7599945,30.48660469,146.416153,189.5318909,61.25019836,466.953064,606,163.8059235,177.8099976,114.3136978
17/04/24,0.0525,188,29.81089211,146.6425934,193.3867645,61.47516251,471.3011169,609.4699707,163.124054,174.7200012,114.294014
18/04/24,0.0525,189.5,29.90032387,147.528656,195.2153778,61.50451279,474.1133728,612.0900269,164.0826263,171.9700012,116.5474243
19/04/24,0.0525,187.4799957,29.66183853,147.5877228,196.4706879,61.87619781,474.8912354,610.8699951,164.8830719,168.4700012,116.0750961
22/04/24,0.0522,186.5700073,30.31767654,148.8774261,196.4311523,62.18920135,466.7237244,616.5900269,163.9146271,171.8899994,116.0259018
23/04/24,0.0525,187.0700073,30.85427284,149.0349579,199.1789856,61.71969604,470.5531616,613.6599731,163.8059235,177.5500031,116.7302246
24/04/24,0.0526,185.9900055,31.07288742,150.3049622,199.772049,61.74904251,480.2165222,613.5200195,164.5470886,173.9900055,117.6329575
25/04/24,0.0526,183.6300049,31.82809448,151.8900299,200.1278839,61.93488693,471.9293518,610.5200195,165.8811646,174.8399963,116.928627
26/04/24,0.0525,184.6999969,31.62935638,152.2444458,202.4210358,61.65122986,470.6130066,621.0999756,165.6637573,177.4600067,118.6844864
29/04/24,0.0525,183.5399933,31.89765358,150.1304932,193.3175812,61.20129395,467.5514221,640.8200073,165.3376465,174.9499969,117.7222366
30/04/24,0.0525,183.1499939,31.53992271,150.1007233,197.2120209,61.53385544,463.3529968,650.6099854,166.3654022,186.6000061,116.908783
01/05/24,0.0526,183.1300049,31.22194099,152.343689,196.0160065,61.62188721,466.4943237,640.4699707,165.8317566,180.1100006,114.5577164
02/05/24,0.0525,181.0500031,29.89038658,148.5723114,194.6420746,60.73179245,464.4998474,635.6699829,163.5391083,173.7400055,112.603447
03/05/24,0.0525,180.75,30.52635193,145.8628845,198.3882599,60.6437645,476.9056702,646.75,163.3809967,179.2400055,112.5141678
06/05/24,0.0525,182.1499939,30.86421013,143.2924042,197.1922455,60.46769714,478.6010132,649,161.1871643,176.75,113.9426651
07/05/24,0.0525,182.0200043,29.94007111,143.351944,195.8183136,60.35032654,473.0562439,654.6199951,159.7443695,176.1900024,112.7224884
08/05/24,0.0525,179.3200073,29.99969482,144.1856079,197.0242004,60.61441803,465.7663269,647.6599731,160.6634064,178.7899933,113.0796127
09/05/24,0.0525,176.4400024,30.65553474,145.5651398,200.2860413,61.55341721,465.546936,641.6199951,162.600296,178.0800018,116.3235016
10/05/24,0.0526,178.3399963,30.09906387,146.6270905,199.4854126,61.55341721,476.1776733,633.789978,162.7089996,176.2899933,113.5359344
13/05/24,0.0525,179.3399963,29.84070396,146.6866302,196.8561707,62.5413208,475.6790161,631.6199951,165.0411835,174.7700043,111.7701569
14/05/24,0.0524,181.2799988,30.58597565,144.8704224,194.9781494,62.52175903,493.6993713,650.2700195,164.092514,175,112.216568
15/05/24,0.0525,185,30.22824478,145.3170166,194.6322021,62.7467308,492.4029541,648.5200195,166.4839783,177.9400024,113.0597763
16/05/24,0.0525,184.3000031,30.5462265,145.9720612,197.6370392,62.51198196,491.6051331,641.4699707,165.0905914,177.4799957,111.8495178
17/05/24,0.0525,187.0599976,30.71515465,146.0216827,197.3009796,62.19898224,501.2186584,644.5,165.377182,173.7899933,112.1768799
20/05/24,0.0525,187.2299957,30.72509193,145.6544647,192.1116943,62.15985489,506.0752563,648.5499878,165.5056458,170.6600037,111.274147
21/05/24,0.0525,186.8899994,30.56610107,144.3146362,189.3144379,61.50451279,507.4414978,650.0599976,163.2327576,177.2899933,110.0440521
22/05/24,0.0525,183.8300018,30.26799202,144.3543243,191.4197998,61.61210632,502.7145386,653.2600098,164.4482727,182.4700012,109.1611633
23/05/24,0.0526,183.6600037,30.25805664,144.4436493,191.5384064,61.65645981,503.2735596,669.3800049,164.8237762,178.0099945,108.2385864
24/05/24,0.0526,184.0599976,30.78471375,144.8505554,192.7245331,61.72546005,505.7391968,675.8300171,165.5254059,187.4400024,107.4945755
28/05/24,0.0526,182.8099976,30.43692017,144.5528259,194.7211609,61.73531723,498.6117249,685.6699829,166.5729065,184.8600006,108.5064316
29/05/24,0.0526,186.1000061,30.42698479,146.6667786,196.3718414,61.29174423,500.8178711,679.0300293,165.6934052,181.5700073,110.84758
30/05/24,0.0526,189.0800018,30.89402008,147.6294708,194.0292664,61.87331772,493.9100342,686.1199951,166.2764435,183.0099945,109.875412
31/05/24,0.0525,185.5700073,30.37729836,147.9966736,196.579422,63.05617523,498.0327759,669.0200195,166.4642029,182.5800018,113.1391373
03/06/24,0.0526,186.3399963,30.5462265,146.0812225,195.7787933,62.92803192,509.70224,672.4099731,164.8830719,187.3500061,113.4565811
04/06/24,0.0525,193.6100006,30.3474884,145.7140198,195.1461792,63.13503265,512.2177734,677.6900024,165.4759979,196.3699951,113.4962616
05/06/24,0.0525,197.8500061,30.39717293,144.7017059,196.8660583,62.99703217,518.6464233,684.3400269,164.655777,197.4199982,113.9823456
06/06/24,0.0525,193.25,30.77477646,145.0589905,199.9203186,62.74074936,503.3334351,674.8800049,162.9758301,197.8800049,114.200592
07/06/24,0.0526,197.1999969,30.64559746,145.3368835,203.0734253,62.37602997,503.7926025,673.6099854,160.8017578,209.8600006,114.0418625
10/06/24,0.0525,200,30.87414742,144.9299622,206.4143066,62.24789047,508.6041565,679.5800171,161.9678345,231.2599945,113.2680969
11/06/24,0.0525,197.5899963,31.03313828,144.5925293,206.2759399,62.42531967,509.0633545,682.5100098,161.8986664,246.3899994,113.8434677
12/06/24,0.0525,200,31.8181591,145.3765717,203.5426788,62.8491745,538.9606323,690.6500244,163.2624207,251.5200043,112.4645691
13/06/24,0.0525,199.2899933,33.77574158,144.3840942,203.9203644,62.06060028,528.3892822,685.7399902,164.5569763,252.9400024,111.2840729
14/06/24,0.0525,199.3399963,34.37195969,145.942276,206.365387,61.7944603,529.0681152,685.7399902,163.7071075,262.3299866,110.053978
17/06/24,0.0525,199.7899933,34.65019226,148.3043365,206.5343628,61.9324646,533.7498169,677.6500244,164.8336792,263.2600098,111.0261459
18/06/24,0.0524,195.0500031,33.2888298,148.5723114,206.1864777,62.19860077,511.7985535,652.75,163.588501,241.0299988,112.34552
20/06/24,0.0524,194.4900055,34.27259064,148.7509613,203.6917725,62.79003143,497.9928589,647.5999756,164.6459045,248.2299957,112.3653641
21/06/24,0.0523,192.7200012,34.24277496,148.1157837,208.7706451,62.50417328,495.2875977,656.4500122,162.6398315,252.6399994,114.2898712
24/06/24,0.0524,193.0200043,34.12353516,149.8724365,212.3188934,63.35188675,488.928833,656.3200073,164.9818878,256.5599976,115.1132431
25/06/24,0.0523,187.9299927,34.24277496,155.4004974,215.5491028,64.27846527,461.1776733,647.460022,167.4425354,248.5,116.7004623
26/06/24,0.0524,183.75,34.65019226,154.2492218,208.7010651,64.25874329,475.0133362,643.039978,166.4543304,249.2299957,117.8512039
27/06/24,0.0523,183.1300049,32.77210617,153.5247345,208.5022888,64.35732269,475.9516907,633.3400269,166.9782562,239.1999969,115.1429977
28/06/24,0.0522,182.5500031,33.1596489,153.078125,208.9992523,63.84474564,486.5430298,647.5,167.2665558,251.5099945,114.3493881
01/07/24,0.0524,186.4100037,32.74229813,151.2023621,209.0489502,64.0320282,487.8307495,642.7600098,165.6460724,246.3800049,112.5042496
02/07/24,0.0524,180.8300018,31.50017548,155.1027527,207.3195343,64.86988831,460.4589539,635.9899902,167.0180206,215.9900055,114.0914688
03/07/24,0.0524,179.8500061,30.90395737,158.437439,207.3990479,65.12617493,452.6127625,634.0900269,165.9244385,220.25,116.4921417
05/07/24,0.0523,182.5,31.1523819,159.4299011,210.9473114,66.09217834,464.8811951,631.3699951,168.1215363,219.8000031,116.3929367
08/07/24,0.0523,183.1999969,30.63566017,157.3655701,209.5657806,65.87532043,464.8911438,626.960022,168.9367371,232.1000061,115.17276
09/07/24,0.0523,181.7100067,29.94007111,160.1147156,213.8793488,66.71318054,462.3755798,622.5800171,160.754837,222.6199951,117.2262268
10/07/24,0.0523,186.9799957,30.5462265,156.6609344,211.5039063,65.78660583,473.9951172,628.3499756,159.8203278,232.0700073,117.6428757
11/07/24,0.0521,184.0700073,28.86687851,159.548996,206.6933899,66.98917389,496.8648376,624.8499756,164.7215271,216.8600006,116.0159683
12/07/24,0.0521,167.8999939,21.34459877,162.9035339,197.9270935,68.33960724,487.2817078,613.6400146,169.0858612,207.6699982,115.9465332
15/07/24,0.052,161.0200043,19.98323441,160.0353088,193.7129211,67.12717438,474.8935547,598.5499878,167.0776672,198.8800049,113.8533783
16/07/24,0.052,161.9299927,19.70499992,157.7724915,199.1197815,67.07789612,493.2212524,609.5700073,167.1074829,200.6399994,113.2482605
17/07/24,0.052,162.7700043,18.98999977,157.7030029,199.1794128,67.48203278,488.0603638,611.4799805,169.0262146,191.7599945,114.7561188
18/07/24,0.0521,165.8000031,20.48999977,159.0130768,202.8171234,67.7481842,508.7339478,630.3499756,169.8712311,198.8399963,116.9484634
19/07/24,0.052,166.9400024,19.70999908,159.4100494,204.5465393,67.69889069,516.8596191,633.9400024,169.5431671,200,117.900795
22/07/24,0.0519,166.8000031,19.36000061,158.6756287,204.9341583,67.19617462,515.0428467,633.1400146,165.8349762,197.4900055,118.0495987
23/07/24,0.0518,170.2299957,20.46999931,157.1968536,206.6735077,67.48203278,527.6106567,648.0200195,166.3121643,207.8300018,116.9187088
24/07/24,0.0518,170.1000061,19.92000008,157.2861786,208.9595032,67.60032654,525.8338013,661.6799927,167.8133392,201.3800049,118
25/07/24,0.0517,177.5899963,20.69000053,157.8915863,210.2615204,67.66932678,536.3852539,663.2199707,166.9384766,214.1399994,118.7300034
26/07/24,0.0516,177.0599976,20.87000084,158.1893158,212.6667786,68.19174957,526.4926147,674.0700073,166.9086609,216.1199951,118.1699982
29/07/24,0.0515,178.2200012,21.52000046,158.4275208,214.1377563,67.99460602,528.3494263,688.5300293,167.4355621,222.7200012,118.5299988
30/07/24,0.0514,178.8800049,20.98999977,158.9535217,213.2134247,68.3888855,525.803833,698.539978,169.4139404,221.1000061,114.5800018
31/07/24,0.0515,180.1100006,21.40999985,160.2139435,213.2929382,68.5761795,534.2189941,697.1199951,169.16539,223.2700043,113.8499985
