date,AXON,BRENT,CEG,EVO,FIVE,HWM,MBLY,NFE,NVDA,NYCB,PLTR,QXO,SEDG,SGML,TBIL,TDOC,TPL,TRGP,UAL,VST,WOLF,SP500
2024-01-12,250.6900024,77.58999634,112.1314545,9.09,190.5899963,55.37082672,30.06999969,35.20967865,54.69448853,29.54545593,16.76000023,100.437973,74.23999786,26.20000076,0.0522,20.87,500.180542,81.96698761,39.77999878,38.89117813,33.86000061,4783.830078
2024-01-16,249.4700012,76.80000305,111.0390396,8.329999924,190.0099945,53.49655151,29.79000092,34.76721954,56.3660202,29.01363945,16.53000069,89.50776672,72.83000183,26.38,0.0522,20.19000053,481.8616943,80.70550537,38.93000031,38.99033737,32.72999954,4765.97998
2024-01-17,250.5099945,77.41000366,111.1482773,8.06,189.2599945,53.40682602,28.38,34.3346,56.03711319,28.92500114,16.38999939,83.37618256,68.22000122,25.87,0.0524,19.44000053,480.6400452,79.6885,37.88000107,39.38698578,31.48999977,4739.209961
2024-01-18,254.1000061,78.29000092,110.6417999,7.97,188.8800049,55.02188873,28.06999969,32.80075073,57.09081268,29.04318237,16.39999962,90.9074,69.27,24.71999931,0.0522,19.85000038,484.8767395,80.76416779,39.77000046,39.07958221,31.89999962,4780.939941
2024-01-19,256.7900085,78.29000092,113.6608353,7.840000153,186.7200012,55.57021713,28.34000015,31.83717918,59.47414017,29.45681953,16.78000069,93.24003601,69.11000061,24.01000023,0.0522,20.23999977,485.9514,80.66638947,38.81999969,39.83320618,32.38999939,4839.810059
2024-01-22,259.6600037,77.87999725,116.4018021,8.31,187.1499939,55.89920807,28.88999939,32.45661545,59.6371,30.04772758,17.60000038,93.30667877,71.85,23.61000061,0.0522,20.94000053,486.3858643,81.95720673,38.45000076,39.6349,34.66999817,4850.430176
2024-01-23,255.0099945,79.1,117.8716049,8.239999771,188.2100067,56.25811386,28.43000031,32.8204155,59.85603333,30.28409195,17.32999992,101.970871,71.83999634,23.30999947,0.0521,20.73999977,486.9967346,81.39,40.49,39.51589203,36.59000015,4864.600098
2024-01-24,251.2400055,78.55999756,114.8724213,8.170000076,186.3300018,56.16838837,27.62,32.57460403,61.34460831,30.46136665,16.75,97.97201538,70.19999695,22.77000046,0.0521,20.19000053,491.7756958,82.12345123,40.84000015,38.90109253,35.91999817,4868.549805
2024-01-25,252.6999969,80.05999756,119.7187729,7.829999924,191.8000031,55.10164642,27.95000076,32.5451088,61.59953308,30.16591072,16.45999908,91.57384491,70.44000244,22.64999962,0.0521,20.35000038,488.1596375,84.08900452,42.95999908,40.09103394,34.22999954,4894.160156
2024-01-26,251.3600006,79.55000305,120.4337997,7.900000095,190.1600037,55.26115799,28.38,32.68276596,61.01370239,30.7863636,16.35000038,91.8404,68.83999634,22.72999954,0.0521,20.20999908,486.2879333,84.89087677,42.54999924,40.43809509,34.09000015,4890.970215
2024-01-29,254.7299957,80.04000092,120.1755981,7.849999905,186.9100037,55.61008835,27.75,33.47917938,62.44729614,30.84545517,17.09000015,90.8407,71.25,22.39999962,0.0522,20.59000015,496.7931519,84.56817627,42.09000015,40.21994019,35.31999969,4927.930176
2024-01-30,254.25,82.43000031,121.0395966,7.829999924,182.7400055,55.80948257,26.25,33.7544899,62.7562027,30.66818047,16.73999977,87.44168854,69.16000366,21.38,0.0521,19.73999977,491.2595825,85.61077881,41.65999985,40.88432312,33.95000076,4924.970215
2024-01-31,249.0599976,83.55000305,121.1587677,7.739999771,179.4600067,56.08863068,25.86000061,32.67293167,61.50956345,19.11590958,16.09000015,88.70800018,66.5,20.05999947,0.0522,19.43000031,477.3506165,83.56493378,41.38000107,40.68600082,32.54999924,4845.649902
2024-02-01,252.6999969,82.4,126.7499542,7.519999981,182.5399933,57.20521927,25.79999924,31.86667633,63.0091362,16.98863792,16.32999992,88.3748,69.27,19.52000046,0.0522,19.84000015,473.5254822,84.6272,41.5,42.89730072,28.12,4906.189941
2024-02-02,256.99,82.87000275,128.8156128,7.22,181.1100006,57.54418564,26.56999969,31.11941719,66.14125061,17.84545708,17.02000046,88.17481232,68,16.85000038,0.0523,19.79000092,469.7754822,84.5681839,41.36999893,44.17648697,26.51000023,4958.609863
2024-02-05,257.4700012,81.70999908,126.1540909,7.22,178.6900024,57.6139679,26.95000076,30.7261219,69.3124,15.95454693,16.71999931,81.64334869,65.66999817,14.39000034,0.0522,18.98999977,466.7832947,84.1649,40.01,42.98654938,25.28000069,4942.810059
2024-02-06,259.4599915,78.69999695,130.1066437,7.650000095,181.3999939,58.25201797,27.20999908,31.74868774,68.20366669,12.409091,21.87,80.77692413,67.37999725,14.27000046,0.0523,20.06999969,471.8301697,84.804245,41.22999954,42.89730072,26.70000076,4954.22998
2024-02-07,265.4700012,77.33000183,131.5863647,7.829999924,182.7100067,58.91001129,26.64999962,31.49304581,70.0791,13.23636341,23.60000038,87.30839539,76.18000031,13.06,0.0523,20.01000023,486.9934692,85.6206131,41.27999878,43.39310837,26.54999924,4995.060059
2024-02-08,269,77.98999786,129.8186493,7.679999828,186.1000061,59.03971863,26.44000053,31.45371628,69.62125397,12.37954617,24.51000023,89.10787964,75.51000214,14.26000023,0.0523,20.38,484.0437622,86.45665741,41.61999893,42.54032516,28.38,4997.910156
2024-02-09,270.980011,78.58999634,131.2586365,7.539999962,188.9499969,58.47097397,27.70999908,31.3357296,72.11255646,14.47727299,24.38,99.5716,77.76000214,14.64000034,0.0524,20.60000038,478.9119873,85.65995026,42.33000183,42.86755753,29.02000046,5026.609863
2024-02-12,266.7099915,79.20999908,127.6238785,7.710000038,189.3600006,58.70047379,27.76000023,32.0142,72.2275238,14.44772816,25.04999924,105.9030838,83.30000305,15.03999996,0.0523,21.10000038,478.9904175,87.056633,43.02000046,42.45108032,29.76000023,5021.839844
2024-02-13,264.4500122,81.62999725,127.0280304,7.239999771,184.1300049,61.84353638,26.25,31.1686,72.10755157,13.70146084,24.01000023,98.10531616,76.55000305,13.93000031,0.0525,19.90999985,465.3329773,86.98778534,41.61999893,43.829422,27.79000092,4953.169922
