date,FOX,CBS,ABC
2014-06-11,33.67349447,59.53425749,68.24709043
2014-06-12,32.9907937,58.64798699,67.81058235
2014-06-13,33.06771773,58.23375186,68.11424015
2014-06-16,33.15425726,58.47458624,67.86751819
2014-06-17,33.06771773,57.90621711,68.07628292
2014-06-18,33.01002471,58.98515511,68.41789795
2014-06-19,32.88502316,58.15668486,68.25657974
2014-06-20,32.27924641,56.87544599,68.56972685
2014-06-23,32.2407844,56.83691249,68.77849158
2014-06-24,32.07732083,56.68277849,68.84491673
2014-06-25,32.76963711,60.18932699,69.02521355
2014-06-26,32.90425416,59.71729161,69.00623493
2014-06-27,33.01964021,58.98515511,69.14857453
2014-06-30,32.91386967,59.86179224,68.9492991
2014-07-01,33.01002471,60.61319549,69.2529569
2014-07-02,33.33695184,61.94260124,69.31938204
2014-07-03,33.78888052,61.94260124,69.49018955
2014-07-07,33.29848982,61.27789836,69.28142481
2014-07-08,32.78886812,61.06596411,69.14857453
2014-07-09,33.4907999,61.58616636,69.2529569
2014-07-10,33.28887432,59.53425749,69.19602106
2014-07-11,33.17348827,59.10075561,69.2529569
2014-07-14,33.09656424,58.45531949,69.36682857
2014-07-15,32.84175339,57.31858124,68.98725632
2014-07-16,31.31769603,58.61908686,69.24346759
2014-07-17,31.21192549,59.37049011,68.98725632
2014-07-18,31.5003906,59.24525624,69.32887135
2014-07-21,31.240772,58.21448511,69.02521355
2014-07-22,31.46192859,57.22224749,69.95516556
2014-07-23,31.00999991,56.80801236,70.27780197
2014-07-24,31.31769603,56.36487711,72.46983171
2014-07-25,31.31769603,55.61347386,72.86838257
2014-07-28,31.00999991,55.59420711,73.44723025
2014-07-29,30.79845882,55.37263949,73.65599499
2014-07-30,30.7407658,55.59420711,73.96914209
2014-07-31,30.44268518,54.74647011,72.98225425
2014-08-01,30.64461076,54.93913761,73.81731319
2014-08-04,30.16383557,55.56530699,73.81731319
2014-08-05,29.83690844,54.90060411,73.11510453
2014-08-06,30.45230068,55.53640686,72.1471953
2014-08-07,31.80808673,54.81390374,71.13183953
2014-08-08,32.25520765,57.05848011,71.57783692
2014-08-11,32.38501696,57.97365074,72.01434501
2014-08-12,32.70232858,56.75021211,71.94791987
2014-08-13,32.92348517,57.16444724,72.25157767
2014-08-14,33.28887432,57.28004774,72.93006306
2014-08-15,33.38502936,57.79061661,72.65402915
2014-08-18,33.52926191,58.02181761,72.91102624
2014-08-19,33.39464486,58.51311974,73.22513379
2014-08-20,33.28887432,58.21448511,73.15850492
2014-08-21,33.31772083,58.14705149,73.22513379
2014-08-22,33.36579835,58.28191874,72.91102624
2014-08-25,33.22156579,58.40715261,73.21561538
2014-08-26,33.19271928,57.81951674,73.02524717
2014-08-27,33.4907999,58.20485174,72.69210279
2014-08-28,33.26964331,57.36674811,73.02524717
2014-08-29,33.11579525,57.11628036,73.66298069
2014-09-02,33.58695494,56.67314511,73.43453883
2014-09-03,33.92349757,56.38414386,73.63442546
2014-09-04,33.77926501,57.25114761,73.62490705
2014-09-05,33.76003401,57.22224749,74.37686149
2014-09-08,33.67830222,57.03921336,74.5577113
2014-09-09,33.44670358,55.88027235,74.24360374
2014-09-10,33.29230449,55.66779983,74.2055301
2014-09-11,33.06070585,56.14103408,73.62490705
2014-09-12,32.89665681,55.30080185,73.38694678
2014-09-15,32.73260778,54.79859408,73.1394681
2014-09-16,32.56373377,54.95311955,73.39646519
2014-09-17,32.43345953,54.89517249,72.84439736
2014-09-18,32.74225772,54.56680588,73.41550201
2014-09-19,32.93525659,53.99699321,73.60587022
2014-09-22,32.31766021,52.75113163,73.46309406
2014-09-23,32.03781186,53.14710314,73.09187604
2014-09-24,32.28871038,52.97326199,74.28167739
2014-09-25,31.62286429,51.99781997,73.7581648
2014-09-26,32.23081072,52.69318458,73.69153592
2014-09-29,32.08606157,52.46139637,73.89142255
2014-09-30,32.14396123,51.66945335,73.57731499
2014-10-01,31.70971378,51.00306227,72.99669194
2014-10-02,31.23686656,50.54914371,73.16802333
2014-10-03,31.87376282,51.263824,74.13890122
2014-10-06,31.8255131,50.9644309,73.78672003
2014-10-07,31.54566475,50.37530256,72.81584213
2014-10-08,31.95096237,50.79058975,74.13890122
2014-10-09,31.07281753,48.98457335,73.48213088
2014-10-10,30.2429224,48.20228816,73.19657856
2014-10-13,29.63497597,47.23650399,72.18762702
2014-10-14,29.87622455,48.22160385,72.93958147
2014-10-15,29.78937506,49.01354687,72.35895842
2014-10-16,30.45522115,49.42883407,71.40711734
2014-10-17,30.5324207,50.55880155,72.18762702
2014-10-20,30.84121889,51.64047983,71.85448265
2014-10-21,31.4009156,52.38413364,72.93006306
2014-10-22,30.5324207,51.09964069,72.93958147
2014-10-23,31.2465165,51.91089939,73.71057274
2014-10-24,31.1114173,51.68876903,74.51011924
2014-10-27,31.50706497,51.68876903,75.6237733
2014-10-28,31.95096237,52.21995033,75.81414151
2014-10-29,31.95096237,52.21029249,75.89980721
2014-10-30,32.12466135,52.04610918,80.75419669
2014-10-31,32.00886203,52.36481796,81.2967461
2014-11-03,31.95096237,52.56763263,82.7149893
