T
65.98
68.43
67.53
66.27
67.12
68.54
66.20
66.96
66.31
66.09
66.49
66.38
65.21
66.43
63.30
67.37
65.66
64.96
66.85
65.70
65.57
64.35
68.99
66.42
63.46
64.69
65.55
63.30
64.67
64.90
67.35
64.08
64.60
65.25
63.70
62.73
63.14
65.59
64.04
64.92
66.24
66.09
65.84
65.93
64.18
62.89
62.31
64.40
64.44
64.33
64.58
65.55
63.90
64.06
64.54
61.77
63.70
66.34
64.18
63.41
66.45
64.74
65.43
64.18
65.10
65.88
66.45
66.16
65.89
64.09
63.50
63.73
66.07
66.54
64.54
64.99
65.26
64.33
63.66
64.53
65.35
67.37
66.63
65.70
66.36
64.80
63.84
67.73
64.69
68.13
65.75
63.41
63.27
64.98
64.11
66.67
62.74
65.07
67.28
66.54
65.44
65.64
61.92
64.09
63.50
64.42
64.58
63.64
62.73
66.09
65.68
64.40
65.59
64.22
66.25
65.95
64.96
62.73
62.76
63.25
65.14
64.80
65.46
66.40
62.94
65.57







