Date,AAPL,AMZN,BA,Brent,GE,IBM,MGM,XOM,SP500,rf,ret_AAPL,ret_AMZN,ret_BA,ret_GE,ret_IBM,ret_MGM,ret_XOM,ret_SP500,ret_Brent
2000-01-03,0.8519421219825745,4.46875,25.940288543701172,,211.46844482421875,64.0570068359375,11.095091819763184,19.130630493164062,1455.219970703125,0.00020912698337009975,,,,,,,,,
2000-01-04,0.7801148891448975,4.096875190734863,25.899946212768555,,203.00973510742188,61.882667541503906,10.992361068725586,18.764205932617188,1399.4200439453125,0.00020912698337009975,-0.08451911821907303,-0.08342586751822582,-0.0017643267593731465,-0.04020899421570394,-0.03415294362161085,-0.009468243780818163,-0.019362942153121555,-0.03855379506186778,
2000-01-05,0.791530430316925,3.487499952316284,27.513639450073242,,202.65724182128906,64.0570068359375,10.816247940063477,19.78714942932129,1402.1099853515625,0.00020912698337009975,0.014424026839063032,-0.14895059701806607,0.062095760603969444,-0.0019454638439954535,0.03492735599023951,-0.016230537448422,0.054306555714715835,0.0017130560079970498,
2000-01-06,0.7230325937271118,3.278125047683716,27.79604721069336,,205.36663818359375,62.95256805419922,11.21250057220459,20.810108184814453,1403.449951171875,0.00020793649885389543,-0.08674641179460088,-0.06024375226811532,0.010056345735874854,0.013161417282709668,-0.01744943491239928,0.036427006998825257,0.05149020017045866,0.0007477416107892479,
2000-01-07,0.757282018661499,3.4781250953674316,28.60289192199707,,213.31881713867188,62.67646789550781,11.095091819763184,20.749027252197266,1441.469970703125,0.00020714284881712897,0.04716198716209579,0.06080335698706734,0.02882017550288401,0.03851472076745848,-0.004592987099899922,-0.01067837999037486,-0.003142299748278129,0.026883256420143935,
2000-01-10,0.7439631819725037,3.4593749046325684,28.1994686126709,,213.23072814941406,65.16144561767578,11.344584465026855,20.458938598632812,1457.5999755859375,0.00020753968329656692,-0.017795223479798786,-0.005598429953412755,-0.014311823628652466,-0.0006204849191617811,0.03944015913583354,0.022279218364010586,-0.0141883711718539,0.010982429730318486,
2000-01-11,0.7059084177017212,3.3375000953674316,27.675016403198242,,213.5831298828125,65.71366882324219,10.772223472595215,20.5200138092041,1438.56005859375,0.00020912698337009975,-0.051360535000479365,-0.03543942512247315,-0.018807073514781104,0.001443551016920242,0.008265565380063468,-0.05066148107321082,0.0027761310385377553,-0.013271638859808465,
2000-01-12,0.6635732650756836,3.1781249046325684,27.79604721069336,,214.2880401611328,65.98977661132812,10.977682113647461,20.397872924804688,1432.25,0.0002095238178495377,-0.060182108879055264,-0.04796238859112154,0.00416376383379315,0.0030908786002023132,0.003992155878784227,0.018863478294939635,-0.006161804626970118,-0.004595895145243594,
2000-01-13,0.7363516688346863,3.296875,27.352285385131836,,216.755126953125,65.29950714111328,10.713517189025879,20.871173858642578,1449.6800537109375,0.00020714284881712897,0.10946937305286257,0.03715768670660296,-0.016172068444093975,0.01130580388464069,-0.010667391476122674,-0.024270959043054714,0.022996302705662046,0.011962557769746356,
2000-01-14,0.7644167542457581,3.2125000953674316,28.401180267333984,,212.8782501220703,66.05877685546875,10.830924034118652,20.458938598632812,1465.1500244140625,0.00020833333333333332,0.03790536505141565,-0.025800721468330425,0.038139280675268096,-0.018094308560544916,0.01141916199698637,0.010750424936363278,-0.01995975042188688,0.010462966629389203,
2000-01-18,0.7910546660423279,3.206249952316284,29.046659469604492,,208.64894104003906,63.91898727416992,10.830924034118652,20.70322036743164,1455.1400146484375,0.00020753968329656692,0.034639828128327554,-0.0021531094469084988,0.02251965672878042,-0.020074806910484137,-0.03259974679273958,-0.00020753968329656692,0.011732560123012712,-0.007039611211007936,
2000-01-19,0.8110338449478149,3.340625047683716,30.74105453491211,,209.66212463378906,65.98977661132812,11.168472290039062,20.90170669555664,1455.9000244140625,0.0002123015835171654,0.025044080513871397,0.04169806016802234,0.0581212588412434,0.00464362334329847,0.03218479082152824,0.030952930012336993,0.009374918404598349,0.00030999163773602406,
2000-01-20,0.8638344407081604,3.237499952316284,30.0148868560791,,205.74118041992188,65.71366882324219,11.139119148254395,20.443662643432617,1445.5699462890625,0.0002103174678863041,0.06489250911482286,-0.031080317511421655,-0.02383239842182078,-0.018911569402234433,-0.004394416918808545,-0.0028385320546608396,-0.022124511308401488,-0.007305638541980911,
2000-01-21,0.8471856713294983,3.1031250953674316,29.490436553955078,,203.18588256835938,67.09417724609375,10.816247940063477,20.764293670654297,1441.3599853515625,0.0002103174678863041,-0.019483419574134412,-0.041716065399315105,-0.017683323601101312,-0.012630280483297677,0.020797616612995447,-0.029195662170076245,0.015473321653632851,-0.0031226365488878395,
2000-01-24,0.8086557388305664,3.5062499046325684,28.60289192199707,,194.72726440429688,67.09417724609375,10.287908554077148,20.58107566833496,1401.530029296875,0.00021150793348039898,-0.04569142314317281,0.12969779216755345,-0.030307523308979286,-0.04184145809114797,-0.00021150793348039898,-0.04905833438513323,-0.009035212954483557,-0.027845101525280132,
2000-01-25,0.8543204665184021,3.4625000953674316,29.490436553955078,,195.25587463378906,65.78271484375,10.214529991149902,20.5352840423584,1410.030029296875,0.0002142857180701362,0.056255637755018184,-0.012691950018989814,0.030815605748094502,0.0025003327566940382,-0.01976087614026811,-0.007346791080218403,-0.0024392241379319578,0.0058505147659154745,
2000-01-26,0.8386229872703552,3.2406249046325684,29.813173294067383,,199.39710998535156,64.47125244140625,10.126474380493164,20.397872924804688,1404.0899658203125,0.00021468253362746465,-0.018588910780807957,-0.06429415823724285,0.010729093748620277,0.020994591498867485,-0.020150959190174646,-0.008835305384902204,-0.006906146711589202,-0.004427403790014185,
