days,rates
0,1.06111
7,1.061401
14,1.061696
31,1.062442
61,1.063793
95,1.065902
123,1.067238
152,1.068646
185,1.070313
213,1.071676
244,1.073159
276,1.074755
305,1.076192
336,1.077717
368,1.079297
458,1.084068
549,1.088254
732,1.096162
1096,1.111859
