Date,BTC,EEM,Gold,TLX,SPY
2025-01-02,96886.875,40.77580261230469,2658.89990234375,83.8387222290039,5868.5498046875
2025-01-03,98107.4296875,41.1566162109375,2645.0,83.57064056396484,5942.47021484375
2025-01-04,98236.2265625,41.1566162109375,2645.0,83.57064056396484,5942.47021484375
2025-01-05,98314.9609375,41.1566162109375,2645.0,83.57064056396484,5942.47021484375
2025-01-06,102078.0859375,41.303077697753906,2638.39990234375,83.19727325439453,5975.3798828125
2025-01-07,96922.703125,41.01014709472656,2656.699951171875,82.2590103149414,5909.02978515625
2025-01-08,95043.5234375,40.81486129760742,2664.5,82.36434173583984,5918.25
2025-01-09,92484.0390625,40.81486129760742,2683.800048828125,82.36434173583984,5918.25
2025-01-10,94701.453125,40.1215934753418,2708.5,81.81861877441406,5827.0400390625
2025-01-11,94566.59375,40.1215934753418,2708.5,81.81861877441406,5827.0400390625
2025-01-12,94488.4375,40.1215934753418,2708.5,81.81861877441406,5827.0400390625
2025-01-13,94516.5234375,39.84819793701172,2673.5,81.78990173339844,5836.22021484375
2025-01-14,96534.046875,40.2973518371582,2677.5,81.65586853027344,5842.91015625
2025-01-15,100504.4921875,40.82462692260742,2712.5,83.063232421875,5949.91015625
2025-01-16,99756.90625,40.77580261230469,2746.39990234375,83.331298828125,5937.33984375
2025-01-17,104462.0390625,41.098026275634766,2744.300048828125,83.47491455078125,5996.66015625
2025-01-18,104408.0703125,41.098026275634766,2744.300048828125,83.47491455078125,5996.66015625
2025-01-19,101089.609375,41.098026275634766,2744.300048828125,83.47491455078125,5996.66015625
2025-01-20,102016.6640625,41.098026275634766,2744.300048828125,83.47491455078125,5996.66015625
2025-01-21,106146.265625,41.53742218017578,2755.0,84.2216796875,6049.240234375
2025-01-22,103653.0703125,41.56671142578125,2767.60009765625,83.7812728881836,6086.3701171875
2025-01-23,103960.171875,41.66435241699219,2763.10009765625,83.13024139404297,6118.7099609375
2025-01-24,104819.484375,41.93775939941406,2777.300048828125,83.5036392211914,6101.240234375
2025-01-25,104714.6484375,41.93775939941406,2777.300048828125,83.5036392211914,6101.240234375
2025-01-26,102682.5,41.93775939941406,2777.300048828125,83.5036392211914,6101.240234375
2025-01-27,102087.6875,41.17613983154297,2737.5,84.48973846435547,6012.27978515625
2025-01-28,101332.4765625,41.47883605957031,2766.800048828125,84.43228912353516,6067.7001953125
2025-01-29,103703.2109375,41.48860168457031,2769.10009765625,84.25997161865234,6039.31005859375
2025-01-30,104735.3046875,42.191627502441406,2823.0,84.57591247558594,6071.169921875
2025-01-31,102405.0234375,41.71317672729492,2812.5,84.02062225341797,6040.52978515625
2025-02-01,100655.90625,41.71317672729492,2812.5,84.02062225341797,6040.52978515625
2025-02-02,97688.9765625,41.71317672729492,2812.5,84.02062225341797,6040.52978515625
2025-02-03,101405.421875,41.410484313964844,2833.89990234375,84.7047119140625,5994.56982421875
2025-02-04,97871.8203125,42.15257263183594,2853.300048828125,84.96414184570312,6037.8798828125
2025-02-05,96615.4453125,42.045166015625,2871.60009765625,86.36690521240234,6061.47998046875
2025-02-06,96593.296875,42.220924377441406,2856.0,86.3284912109375,6083.56982421875
2025-02-07,96529.0859375,42.18186569213867,2867.300048828125,85.7712173461914,6025.990234375
2025-02-08,96482.453125,42.18186569213867,2867.300048828125,85.7712173461914,6025.990234375
2025-02-09,96500.09375,42.18186569213867,2867.300048828125,85.7712173461914,6025.990234375
2025-02-10,97437.5546875,42.689613342285156,2914.300048828125,85.51179504394531,6066.43994140625
2025-02-11,95747.4296875,42.523616790771484,2912.5,84.96414184570312,6068.5
2025-02-12,97885.859375,42.75796127319336,2909.0,83.8111801147461,6051.97021484375
2025-02-13,96623.8671875,43.0313606262207,2925.89990234375,85.20433044433594,6115.06982421875
2025-02-14,97508.96875,43.36334991455078,2883.60009765625,85.65591430664062,6114.6298828125
2025-02-15,97580.3515625,43.36334991455078,2883.60009765625,85.65591430664062,6114.6298828125
2025-02-16,96175.03125,43.36334991455078,2883.60009765625,85.65591430664062,6114.6298828125
2025-02-17,95773.3828125,43.36334991455078,2883.60009765625,85.65591430664062,6114.6298828125
2025-02-18,95539.546875,43.636749267578125,2931.60009765625,84.64705657958984,6129.580078125
2025-02-19,96635.609375,43.568397521972656,2919.39990234375,84.75275421142578,6144.14990234375
2025-02-20,98333.9375,43.96873474121094,2940.0,85.06983184814453,6117.52001953125
2025-02-21,96125.546875,43.84180450439453,2937.60009765625,86.09788513183594,6013.1298828125
2025-02-22,96577.7578125,43.84180450439453,2937.60009765625,86.09788513183594,6013.1298828125
2025-02-23,96273.921875,43.84180450439453,2937.60009765625,86.09788513183594,6013.1298828125
2025-02-24,91418.171875,43.16806411743164,2947.89990234375,86.34770965576172,5983.25
2025-02-25,88736.171875,43.197357177734375,2904.5,87.83694458007812,5955.25
2025-02-26,84347.0234375,43.626983642578125,2916.800048828125,88.35578155517578,5956.06005859375
2025-02-27,84704.2265625,42.77749252319336,2883.199951171875,87.73125457763672,5861.56982421875
2025-02-28,84373.0078125,42.191627502441406,2836.800048828125,88.80735778808594,5954.5
2025-03-01,86031.9140625,42.191627502441406,2836.800048828125,88.80735778808594,5954.5
2025-03-02,94248.3515625,42.191627502441406,2836.800048828125,88.80735778808594,5954.5
