Date,CHD,COST,CTRE,ENTR,HI,LDOS,TDS,TMUS,UEC,WM
2020-01-06,68.32555389404297,277.97174072265625,17.817462921142578,11.097671508789062,31.289663314819336,96.42130279541016,22.542144775390625,78.62000274658203,0.8999999761581421,110.59549713134766
2020-01-07,67.66690826416016,277.5336608886719,17.385841369628906,11.153468132019043,30.812881469726562,96.06582641601562,22.135244369506836,78.91999816894531,0.8899999856948853,110.67182922363281
2020-01-08,67.05668640136719,280.71527099609375,17.575754165649414,11.253901481628418,30.97180938720703,95.95054626464844,22.307048797607422,79.41999816894531,0.9100000262260437,110.73860168457031
2020-01-09,67.56034851074219,285.220947265625,17.44194984436035,11.338478088378906,30.97180938720703,97.11304473876953,22.261837005615234,79.80999755859375,0.8999999761581421,110.78630065917969
2020-01-10,67.89936828613281,283.1442565917969,17.63186264038086,11.331429481506348,30.40155029296875,97.0553970336914,21.999616622924805,79.0,0.8999999761581421,110.85308074951172
2020-01-13,68.59675598144531,285.6495666503906,17.94695281982422,11.480613708496094,30.018259048461914,97.1803207397461,22.343212127685547,79.4000015258789,0.8999999761581421,112.24589538574219
2020-01-14,68.9357681274414,285.5352783203125,17.869264602661133,11.42422866821289,30.233272552490234,96.83442687988281,22.352256774902344,79.80000305175781,0.8899999856948853,112.63703155517578
2020-01-15,69.58472442626953,286.5545654296875,18.223194122314453,11.451245307922363,30.158483505249023,98.13145446777344,22.442676544189453,80.2699966430664,0.8799999952316284,112.78013610839844
2020-01-16,69.42977142333984,288.65972900390625,18.430370330810547,11.538171768188477,30.485685348510742,98.27555847167969,23.012338638305664,81.44000244140625,0.8899999856948853,113.9916763305664
2020-01-17,69.7397232055664,290.2314758300781,18.395843505859375,11.57341194152832,30.53243064880371,99.33240509033203,22.930957794189453,82.1500015258789,0.8700000047683716,114.14432525634766
2020-01-21,70.2240219116211,298.4046325683594,18.870630264282227,11.546981811523438,30.10239601135254,99.21710205078125,22.73202896118164,82.02999877929688,0.8500000238418579,114.86936950683594
2020-01-22,69.95280456542969,297.0996398925781,18.836095809936523,11.545807838439941,29.943470001220703,98.44849395751953,22.912872314453125,82.48999786376953,0.8399999737739563,114.78350067138672
2020-01-23,68.75174713134766,298.0426330566406,18.99148178100586,11.620397567749023,29.541484832763672,98.60221862792969,22.804367065429688,82.18000030517578,0.8299999833106995,115.56576538085938
2020-01-24,69.0713882446289,295.7850036621094,18.879262924194336,11.578109741210938,28.6159725189209,97.6318588256836,22.352256774902344,81.58000183105469,0.8299999833106995,115.43221282958984
2020-01-27,70.1077880859375,294.77532958984375,18.931053161621094,11.353160858154297,27.92418098449707,96.8152084350586,21.683134078979492,80.72000122070312,0.8199999928474426,115.61346435546875
2020-01-28,69.75908660888672,296.1089172363281,19.00874900817871,11.553442001342773,28.260725021362305,98.2947769165039,21.97248649597168,81.66000366210938,0.7799999713897705,115.47991943359375
2020-01-29,70.41773986816406,294.8991394042969,19.11233901977539,11.57399845123291,28.04570770263672,97.83362579345703,21.203903198242188,80.26000213623047,0.800000011920929,115.88058471679688
2020-01-30,70.49523162841797,294.7944030761719,19.22456169128418,11.546981811523438,27.821346282958984,98.5541763305664,21.176774978637695,80.94000244140625,0.8100000023841858,117.11122131347656
2020-01-31,71.89002227783203,291.0316467285156,19.146869659423828,11.382528305053711,27.138900756835938,96.52699279785156,20.507658004760742,79.19000244140625,0.8299999833106995,116.0999984741211
2020-02-03,72.7520980834961,287.6785888671875,19.198665618896484,11.549918174743652,27.064111709594727,98.43888092041016,21.004972457885742,79.45999908447266,0.8899999856948853,117.04444885253906
2020-02-04,72.3936996459961,290.4410400390625,19.362680435180664,11.760771751403809,27.43805503845215,101.17704772949219,21.240068435668945,81.51000213623047,0.8700000047683716,117.20661926269531
2020-02-05,71.92875671386719,294.2990417480469,19.379947662353516,11.705561637878418,27.905481338500977,102.44523620605469,21.61983871459961,81.79000091552734,0.8600000143051147,117.9220962524414
2020-02-06,71.63819122314453,296.5040588378906,19.569860458374023,11.815393447875977,26.849088668823242,105.64454650878906,21.818767547607422,82.7699966430664,0.8500000238418579,118.04612731933594
2020-02-07,72.15155029296875,299.38690185546875,19.59575653076172,11.746674537658691,26.699512481689453,105.78865814208984,21.764516830444336,85.44000244140625,0.8700000047683716,118.20832061767578
2020-02-10,73.17827606201172,299.5396728515625,19.77703857421875,11.88176155090332,27.101503372192383,106.25943756103516,21.411874771118164,84.52999877929688,0.8500000238418579,119.28631591796875
2020-02-11,72.43245697021484,296.5708923339844,19.70798110961914,11.930509567260742,27.138900756835938,107.7389907836914,22.15333366394043,94.48999786376953,0.8700000047683716,119.22908020019531
2020-02-12,73.30420684814453,300.8092956542969,19.682085037231445,12.069121360778809,27.34456443786621,106.64373779296875,22.424592971801758,95.66999816894531,0.9200000166893005,119.830078125
2020-02-13,73.57627868652344,303.7494201660156,19.690711975097656,12.08674144744873,26.521892547607422,108.66131591796875,21.990570068359375,95.13999938964844,0.9399999976158142,118.51359558105469
2020-02-14,74.26617431640625,303.85443115234375,20.053281784057617,12.136077880859375,25.259838104248047,108.38269805908203,21.75547218322754,96.4800033569336,0.8899999856948853,119.96363067626953
2020-02-18,73.99410247802734,307.42449951171875,19.906524658203125,12.227701187133789,24.85784912109375,118.38416290283203,22.442676544189453,99.87999725341797,0.8700000047683716,120.4120101928711
2020-02-19,73.63455963134766,308.3504943847656,19.647552490234375,12.342818260192871,24.549345016479492,115.60758209228516,22.7591552734375,100.48999786376953,0.8700000047683716,119.46756744384766
