Date,AAPL,BAC,GE,GOOG,JPM,META,MSFT,SBUX,T,XOM,SP500,rf
2021-12-13,-0.0206742306470038,-0.02111397450838115,-0.03940194857460111,-0.013253773131292279,-0.011888434771980316,0.01437449654094003,-0.009166675796160484,-0.010023184938133589,-0.01751295259434449,-0.02190132769603159,-0.009136167611567658,6.615384840048277e-06
2021-12-14,-0.008023281839141139,0.012620439037378306,-0.01095230210830811,-0.011819634370268228,0.007662114583857571,-0.00224221956380366,-0.0325869725029686,-0.007355538560969044,-0.006684524058632735,-0.0014601829759230966,-0.0074706775774360246,7.384615448805003e-06
2021-12-15,0.028509264980647986,-0.004305683034962704,-0.0003258381652641029,0.016541261266040275,-0.007478062502907168,0.02373108904980903,0.019217850541724646,-0.0002613479275178632,-0.005383516855798187,-0.004387483026191741,0.016348464630746795,6.923077198175284e-06
2021-12-16,-0.03926393573410647,0.0241239818332446,0.0048870282155615286,-0.017167839690898967,0.015638826974381237,-0.019785780287909893,-0.02913482427783398,-0.009504901139705701,0.0694630485824661,0.0016321424806986506,-0.008743415379980468,5.384615407540248e-06
2021-12-17,-0.006501643417539005,-0.024888987140654795,-0.011671720821362586,-0.014053633449836789,-0.02275411728487753,-0.003314378536255158,-0.003385640143527935,-0.04366580413984944,0.002952491209399666,-0.02183474016551923,-0.010287680637092622,4.61538451222273e-06
2021-12-20,-0.008122038160115475,-0.01640824664931817,-0.015212832671430143,-0.0028114904821024966,-0.0179895183548886,-0.024985757884865567,-0.01201364833358265,-0.00497091780185932,0.01724135046749975,-0.014492782078485145,-0.01138805785140995,5.846153658169966e-06
2021-12-21,0.019086752642539118,0.023864625451232913,0.03422980160128497,0.012773743158932538,0.013966569791142636,0.026885849352599855,0.023068966864444373,0.02109359597164273,0.011575032024306209,0.022650405647274496,0.017777934551572505,9.999999633202187e-06
2021-12-22,0.015318830538906258,0.002036642355887741,0.00010744512295812747,0.018918948943754232,0.003907929595208914,-0.01122082544292946,0.01805739598858036,0.012412745061335162,0.012668720020102997,0.00809925095834485,0.010180197220578835,9.999999633202187e-06
2021-12-23,0.003643829608405813,0.0031616214518399577,0.009992590569043003,0.0013167608990234392,0.0035737749426447696,0.014495318052349715,0.004471857890156805,0.005638015473064195,0.003631932383425074,0.0004918572994094816,0.006223699921661829,8.923076666318453e-06
2021-12-27,0.022974887182006576,0.004952731384151754,0.0065956085547114185,0.0062625925127430815,0.005723073554382507,0.032633345543763514,0.02318555308873682,0.016463569650675636,-0.0036187891857923926,0.014257582008404768,0.01383893524747526,6.615384840048277e-06
2021-12-28,-0.005767352399094872,0.0013442815736282032,0.007186745341084322,-0.010914181469367512,0.003034841774154362,0.00011557151126107001,-0.0035042014554033107,0.011819162700062336,0.0016140902418175784,-0.00323151840584468,-0.0010101548486260992,7.692307806932009e-06
2021-12-29,0.0005021268825888825,-0.00156600157078568,-0.005351624222181273,0.00038582497987005304,-0.0005042089427252927,-0.009473741458414398,0.0020514041603370003,0.007008688564088983,-0.007252159127570268,-0.008753498424790562,0.0014018951394270118,6.923077198175284e-06
2021-12-30,-0.006578161062053556,-0.002240793407508268,-0.0009493574386246761,-0.0034265083786925166,-0.0005047677413835272,0.004140616142903397,-0.007691256308971495,-0.001202872309969405,0.005681875842421302,-0.005887110586902611,-0.0029897555945093135,3.846153903466004e-06
2021-12-31,-0.003535349167084756,-0.0008982236160597346,-0.0024289602324725212,-0.009061475144276687,-0.0008199764789807995,-0.02326048202107267,-0.008841176258218564,0.00628005855738567,-0.007263979436517798,0.006580052717174212,-0.0026261799136575448,5.076923049413241e-06
2022-01-03,0.02500406868372118,0.03798593523628857,0.01873633596355151,0.002730096535268567,0.021155601567200533,0.00651108191367844,-0.004668195097966343,-0.0024791782992568123,0.03373986627555414,0.03840499418355736,0.006374052530970564,8.153846057561729e-06
2022-01-04,-0.012691511851770643,0.03919462909981952,0.03252277284688598,-0.00453552851707506,0.037909564552487396,-0.005937288695254117,-0.01714690292247889,-0.020911956065955195,0.008258046609105563,0.03761400616254362,-0.000629621957060511,1.2307692032593949e-05
2022-01-05,-0.026599861173067896,-0.016878535461750555,0.0,-0.04682983111591976,-0.0182821149363398,-0.03672773718954081,-0.03838805625734909,-0.03326324506219258,0.022230748242505705,0.012437604234386557,-0.019392757790687165,1.3076923214472257e-05
2022-01-06,-0.016693379763309313,0.020135514296000245,0.005836690215133888,-0.0007446853322041758,0.010624199298126635,0.02557293297947738,-0.007902037516224647,0.006338273242980419,-0.0038152835541027663,0.023520339462414386,-0.0009637690162076495,1.3846154396350567e-05
2022-01-07,0.0009883922603599604,0.0218160042121327,0.014507347465938292,-0.003973024919069701,0.009908061660726775,-0.002015228681273573,0.0005098470636661911,-0.03212159093755407,0.03416303523804398,0.008196834437602885,-0.004050216740091761,1.3538461465101975e-05
2022-01-10,0.00011619821983965828,-0.005083341499845018,-0.019526598590032807,0.011455855601801845,0.0009572499483530006,-0.01121191453901016,0.000732186024628767,-0.014316368625258202,0.006466387685660768,-0.0059523149228815075,-0.0014410312534549607,1.3846154396350567e-05
2022-01-11,0.016783768869387483,0.005722321480962966,0.023838272721303344,0.010416792837726785,0.0010159859092657708,0.019203181187918528,0.0022594909276938413,-0.018768138923961675,-0.004535071997169404,0.04206207773173021,0.009159984668711818,1.8153846263885496e-05
2022-01-12,0.0025701247014469075,-0.007112163298494734,0.004420837880621198,0.011644923975503207,0.005672019308205378,-0.0033196320476467367,0.010444999247746667,-0.0016340746179638321,0.004176035674492873,-0.0029432495685379756,0.002817754443029452,1.769230801325578e-05
2022-01-13,-0.019027944343475767,-0.002046799267292343,0.0021518392470207814,-0.017769388766162075,-0.0012469141699341657,-0.02034447152559682,-0.04232266018516628,-0.014152352365009446,0.013232556293277575,-0.007168975618718654,-0.0142436152864307,1.692307683137747e-05
2022-01-14,0.005110695483699468,-0.017432298938635515,0.006832007406307072,0.004711403891758392,-0.06146335127964697,0.01660127030068992,0.017716690062625773,-0.022265538139603303,0.01417917851112338,0.017556290982210454,0.0008199802697488323,1.8153846263885496e-05
2022-01-18,-0.018894268133979653,-0.03443966483139116,-0.0026174669793064265,-0.02500958405632192,-0.04192796935331666,-0.04142814176817511,-0.024339268864128183,-0.023871373782910377,0.004782899675551899,0.016836157361407977,-0.018387945694007368,1.9999999266404373e-05
2022-01-19,-0.0210247115359653,0.0038911032137534107,-0.022062234720031437,-0.004684875638355623,-0.015468945532753131,0.004526174662994986,0.0022468423697536988,-0.008799745116987445,-0.0010984297610745486,0.0004103199527949464,-0.009689541868338813,2.5384616393309373e-05
2022-01-20,-0.010347168283716957,-0.01485769758558153,-0.023554071778077446,-0.015816152121761684,-0.00852751142729491,-0.009480893688841752,-0.005703383565887621,-0.01187154399909418,-0.009530936549904445,0.002188513218579713,-0.01103737849414832,2.5846153497695924e-05
2022-01-21,-0.01276516766590996,-0.018142245425312842,-0.019847333896984343,-0.0255755712166732,-0.017472518425761807,-0.04229840862435863,-0.018468177207629832,0.006163601023143395,-0.015173949507814477,-0.015012894503810714,-0.018914821867908604,2.430769342642564e-05
2022-01-24,-0.0048641367967416915,-0.008236785385319578,0.006334353700207407,0.002152313666816452,-0.0008962177823543804,0.018273502595810953,0.0011485438123943759,0.018586038422296003,-0.01014644516769203,0.008590888218437343,0.002771738943381896,2.3846154029552752e-05
2022-01-25,-0.011384815973035423,0.019753024743305536,-0.05984911869234166,-0.027893241373918465,0.010900540717933005,-0.02772828154426399,-0.02658827200614311,-0.011111255735935077,0.005315126368169221,0.029399651675490857,-0.012171906253646725,2.8461538828336276e-05
2022-01-26,-0.0005631498578620997,0.010345740178550944,-0.019646893949375688,0.019761700872439114,0.009485979359881602,-0.01839076836888298,0.02849318744233109,-0.014740594381891348,-0.0842143997151501,-0.010143046242093612,-0.0014966358477518371,2.7384615861452544e-05
2022-01-27,-0.002943290764118589,-0.009368301815620761,0.006493636579579354,-0.0009207930272390197,-0.01764477213463167,3.397401981852788e-05,0.010549012094314802,-0.002720341297285156,-0.005360905661066173,0.01280861772269759,-0.00538408875771057,2.8461538828336276e-05
2022-01-28,0.06977754979813389,0.008797068816600584,0.02447153770912336,0.03228369309935131,0.008946562788189949,0.02399530428708574,0.028081770959393904,0.019827942334597726,0.04519058717734614,0.0021297380774920605,0.024347646888076113,2.6615383533331066e-05
2022-01-31,0.026125707435511014,0.0058859764728431685,0.025841478116236827,0.01807341532210649,0.013573430925938768,0.03828185554891239,0.008823706365145734,0.011418582926421283,0.011503454778625688,0.009033176499704032,0.018885951732779516,2.6615383533331066e-05
2022-02-01,-0.0009725831894167314,0.017338741413691183,0.036727266029513705,0.016064972348902362,0.01715984732211462,0.01832340565484092,-0.007138798886266784,0.004475309849464981,-0.0423529929981451,0.06411273287153185,0.00686300355780145,3.123076833211459e-05
2022-02-02,0.007044388785294231,-0.0010652178938382884,0.0009189307360097931,0.07367359801151063,-0.008005116705261717,0.012539184952978122,0.015222093707106366,-0.01042940602472442,0.004913923076609317,-0.002597954781869971,0.00942251544733641,2.8461538828336276e-05
2022-02-03,-0.016719813335109746,-0.009810184633086805,0.002856048057822136,-0.0363829300371481,-0.008270053158760282,-0.2639009457992696,-0.03895236436815952,-0.01831582121703068,0.0008149824185215149,-0.011659744335178912,-0.024391082077444004,2.9692308260844303e-05
2022-02-04,-0.0016793652375585166,0.03984487800950376,0.0070178887615481855,0.0025622696013785085,0.025958250162773533,-0.0028179600623520207,0.015568629990416305,-0.009797865042041165,-0.019543988251460864,0.021711810427116562,0.0051569298644233985,3.4307693059627824e-05
2022-02-07,-0.004234451192016486,0.004763872981651485,0.008988944124024956,-0.028514311302285766,0.0033430544651784633,-0.051372866269831285,-0.016310432342984127,0.0020001175459347653,-0.006229075375752791,0.012037747337106941,-0.0037017126347429485,3.123076833211459e-05
2022-02-08,0.01846674416777838,0.01793440162345661,-0.005905911866001423,0.001979256139268859,0.018814989127333925,-0.021030682981243443,0.011995336658294997,-0.0028364672169077787,0.00041793632407727266,-0.025852487955918213,0.008401207191663262,4.230769322468684e-05
2022-02-09,0.008293651398098678,-0.0020250050023638,-0.000604197903275816,0.01609049107778482,0.004168031206797762,0.05368338503682257,0.021834752164702653,0.02328276325365275,0.023391767586266266,-0.004787087674892443,0.014517207887505545,4.15384631890517e-05
2022-02-10,-0.02359891227570443,-0.004667283570886971,-0.00463481927295506,-0.020151637536967693,-0.0041507308311624636,-0.016939623602505338,-0.028373051938733518,-0.013762381435964421,-0.010203967558422677,-0.009620228225754146,-0.01811572566845976,5.692307765667255e-05
2022-02-11,-0.020218397290035606,-0.02303763607544651,-0.019839862326265778,-0.032268455619245184,-0.013017123102562755,-0.037356969346474034,-0.024274144912552753,-0.016577475156513977,-0.004948598509351032,0.02517886258725288,-0.01896945434456343,5.199999992664044e-05
2022-02-14,0.0014233064816171481,-0.010434085975572605,-0.002375529648378727,0.008722866818408948,-0.009290335426198726,-0.008426354260079427,-0.00013549580005067785,-0.0008535884854878883,-0.0033154343979213685,-0.015334725722740528,-0.0038405967262932217,5.538461758540227e-05
2022-02-15,0.02315234732367455,0.007802621974949409,0.0447206233260784,0.008318577344070821,0.0146239462281339,0.015158489196223535,0.018542206143217443,0.009183136093428024,0.012058184172422548,-0.012534891243959456,0.01576672117072042,6.153846245545607e-05
2022-02-16,-0.001388943949149568,-0.002301781380074419,0.004855451437643321,0.007784442121505641,0.0018095676132057203,-0.020181025854602685,-0.0011672850934627554,0.007089209384537831,-0.01643369468343303,0.00461593777271796,0.0008812077558950637,5.73846147610591e-05
2022-02-17,-0.02126904324944845,-0.03376674742913788,-0.029089956160161856,-0.0376688843679307,-0.023032272837830492,-0.040777624669997126,-0.029281953964168994,-0.022378754422417435,-0.0075189021291171,-0.0015314394515014706,-0.021173138152195015,5.3076922893524174e-05
2022-02-18,-0.009355879541000034,-0.0023878032064368337,-0.05860239212185481,-0.01391447554310532,0.00468875200188279,-0.007462341734421285,-0.009631001797708927,0.003116627471725808,0.004629727201117317,-0.011121275848829826,-0.0071661613961429005,4.89230751991272e-05
2022-02-22,-0.017812240504028853,-0.008703108153205519,0.0157514098932674,-0.008162971248554696,-0.0017747563849597192,-0.01979046254646799,-0.0007292151381365075,-0.00246401453283307,-0.005027378442820085,-0.011633979171302045,-0.010142945264832837,5.0769232786618745e-05
2022-02-23,-0.025864102430070535,-0.017120249849950087,-0.015931955210035542,-0.014045302871686483,-0.02093904198772234,-0.017963206897866568,-0.025893335344154278,-0.037160416213611436,-0.010105211903203237,0.004054511578610809,-0.018412122845487655,5.230769285788903e-05
2022-02-24,0.016680003219621042,-0.02635116641145363,-0.0011873386762335514,0.03988316325337693,-0.027842948939300394,0.04610737866456027,0.051093487991757724,0.015170262096534604,-0.011909744969039737,-0.012635088527301885,0.014956856067329216,4.353846036470853e-05
2022-02-25,0.012965620178978954,0.032568823255532564,0.041387288076259354,0.013913919555049059,0.02365952747558575,0.013872781981458138,0.009233227642635233,0.017250777806669726,0.029272240843462694,0.026912739249508988,0.022372677655603468,4.584615505658664e-05
2022-02-28,0.001637834155752138,-0.018214050187774666,-0.008923724548587808,0.002761724027237289,-0.041697559653145366,0.002613089428554316,0.004978126162982877,-0.00853315613671013,-0.009200903636623625,0.00745123004940762,-0.002442603440647617,4.4307690400343674e-05
2022-03-01,-0.011627879876626834,-0.039140273702731654,-0.03329510521961465,-0.005359936300206258,-0.037729451401174674,-0.035729485522190685,-0.012851917216885056,-0.01797581703745943,-0.006754141765622723,0.009563850878558933,-0.015473503680411893,4.815384516349205e-05
2022-03-02,0.02058804526472402,0.01624684045180258,0.01982036931775233,0.0043489960119798,0.020740390636557304,0.022703793761225777,0.017765632704310974,0.029176828787881526,0.012324899803752176,0.017178478408575115,0.018642691757321028,4.9999998166010926e-05
2022-03-03,-0.001981174178175893,-0.010710215026433989,-0.018160565009741947,-0.0032912191654151934,-0.007108055535968827,-0.024698473761826323,-0.014224253163559908,-0.013366386448404266,0.0037781001205243747,0.006332898667831044,-0.005254666430088317,5.153846282225389e-05
2022-03-04,-0.01840823993968277,-0.03624374857919621,-0.03580324808871993,-0.01627605697744683,-0.028129164217991276,-0.014337112108232852,-0.020478566021364886,-0.01638815824071993,-0.0016726811913155837,0.03763575691043575,-0.007934042550334475,4.6923078023470366e-05
2022-03-07,-0.023717456162073547,-0.06373644521237554,-0.04132040439477436,-0.04282022560539067,-0.03861600015518951,-0.06293110312671701,-0.03777689890312452,-0.061868146922496536,-0.012568330204743794,0.03603291294265665,-0.029518158313449172,4.6923078023470366e-05
2022-03-08,-0.011676133379625697,0.006520608007611228,0.03244334902486212,0.006436612551132148,-0.007042882935521799,0.015042364362657601,-0.010971278265439421,-0.005446340873445643,-0.02418323714830317,0.00757570933859486,-0.00723375351819977,5.538461758540227e-05
2022-03-09,0.03499746379603064,0.06348801910431967,0.03516724580610964,0.05175653169688643,0.04006233932156422,0.04314471072329096,0.04585832442670923,0.04285695900221698,0.011304581861703689,-0.05684667337808591,0.02569824789143582,5.692307765667255e-05
2022-03-10,-0.02718633222474487,-0.009015620981899564,0.0008766853371362515,-0.008844594611538414,-0.01184059620655975,-0.016574273481777424,-0.01008671286060181,-0.00502258618914464,-0.0030095267683445392,0.031042302145307232,-0.004291813651667864,5.538461758540227e-05
