date,AAPL,AMZN,FB,GOOG,NFLX
2014-03-27,71.865677649392,338.47,60.97,558.46,52.025714285714294
2014-03-28,71.785449527132,338.29,60.01,559.99,51.26714285714286
2014-03-31,71.76940390268001,336.365,60.24,556.97,50.28999999999999
2014-04-01,72.425937369838,342.99,62.62,567.16,52.09857142857143
2014-04-02,72.546279553227,341.96,62.72,567.0,51.84
2014-04-03,72.043516653734,333.62,59.49,569.74,50.67
2014-04-04,71.11153330015199,323.0,56.748999999999995,543.14,48.18714285714285
2014-04-07,69.995025265373,317.76,56.95,538.15,48.28571428571429
2014-04-08,69.99101385926,327.07,58.1901,554.9,49.841428571428565
2014-04-09,70.910962994503,331.805,62.41,564.14,50.43285714285714
2014-04-10,69.996362400744,317.11,59.16,540.95,47.81857142857143
2014-04-11,69.478891012169,311.73,58.53,530.6,46.67285714285714
2014-04-14,69.755678033965,315.91,58.89,532.52,47.36857142857142
2014-04-15,69.258250304602,316.08,59.09,536.44,46.60999999999999
2014-04-16,69.39866288991,323.68,59.72,556.54,47.34428571428572
2014-04-17,70.191584164908,324.91,58.94,536.1,49.39142857142856
2014-04-21,71.024619501037,330.87,61.24,528.62,49.784285714285716
2014-04-22,71.095353962163,329.32,63.0301,534.81,53.271428571428565
2014-04-23,70.16617859285999,324.58,61.36,526.94,50.5
2014-04-24,75.918534958872,337.15,60.87,525.16,49.152857142857144
2014-04-25,76.47612040857601,303.83,57.71,516.18,46.01142857142857
2014-04-28,79.437875255325,296.58,56.14,517.15,44.88714285714285
2014-04-29,79.20253943003101,300.38,58.15,527.7,45.69571428571428
2014-04-30,78.903021106928,304.13,59.78,526.66,46.00571428571429
2014-05-01,79.088882923496,307.89,61.15,531.35,48.074142857142846
2014-05-02,79.235967814305,308.01,60.46,527.93,48.664285714285704
2014-05-05,80.356487255198,310.05,61.22,527.81,49.19714285714285
2014-05-06,79.480663587197,297.38,58.53,515.14,46.59857142857143
2014-05-07,79.20253943003101,292.71,57.39,509.96,45.79142857142857
2014-05-08,79.062140216076,288.32,56.76,511.0,45.951428571428565
