date,AAPL,AMZN,BA,GOOG,IBM,MGM,T,TSLA,SP500
09/06/2014,88.19343487,327.5,125.0727081,562.12,165.117848,24.26336448,29.21877386,205.31,1951.27002
10/06/2014,88.71111245,332.41,124.4290315,560.55,163.4065525,24.25347318,29.160353,202.3,1950.790039
11/06/2014,88.34403198,335.2,121.5732832,558.84,161.597722,24.62934266,29.05185713,204.47,1943.890015
12/06/2014,86.8662978,325.91,119.8417025,551.35,160.68444,24.17434276,29.0685488,203.52,1930.109985
13/06/2014,85.91565352,326.27,119.9323612,551.76,161.8725933,24.62934266,29.23546553,206.42,1936.160034
16/06/2014,86.78158692,327.62,120.1590079,544.28,161.6863902,24.54032094,29.19373635,224.61,1937.780029
17/06/2014,86.66863909,325.62,120.0774151,543.01,161.6065888,24.52053834,29.22711969,231.67,1941.98999
18/06/2014,86.76276228,334.38,120.1046127,553.37,162.7947422,24.83706001,29.37734475,227.12,1956.97998
19/06/2014,86.46156806,327,120.4128522,554.9,162.1031305,24.86673392,29.51087814,227.79,1959.47998
20/06/2014,85.56739769,324.2,119.7601097,556.36,160.9770449,25.12390778,29.53591565,229.59,1962.869995
23/06/2014,85.49209914,327.24,118.6268763,564.95,161.500187,25.36129903,29.53591565,237.22,1962.609985
24/06/2014,84.97442156,324.16,117.0856788,564.62,160.3829682,25.38108164,29.45245728,232.5,1949.97998
25/06/2014,85.04972011,327.44,115.1909125,578.65,160.2410992,25.62836419,29.42741977,236.891,1959.530029
26/06/2014,85.55798537,325.69,116.0612358,576,159.9307606,26.42955968,29.42741977,235.6,1957.219971
27/06/2014,86.57451589,324.57,116.5326609,577.24,161.1189139,26.12292931,29.55260732,239.06,1960.959961
30/06/2014,87.46868626,324.78,115.3450322,575.28,160.728774,26.113038,29.51087814,240.06,1960.22998
01/07/2014,88.02401311,332.39,116.179092,582.67,165.2331166,26.31086405,29.61102818,239.72,1973.319946
02/07/2014,87.98636384,332.85,115.6986011,582.335,167.041947,26.62738572,29.76959907,229.425,1974.619995
03/07/2014,88.50404142,337.492,116.5054633,584.73,167.1660825,26.5482553,29.91147829,229.25,1985.439941
07/07/2014,90.32814896,333.55,117.0312836,582.25,166.7316085,26.32075535,30.06170335,222.66,1977.650024
08/07/2014,89.74646761,323.81,114.9461341,571.09,166.0045296,25.49977726,30.06170335,219.07,1963.709961
09/07/2014,89.78411688,329.97,114.9461341,576.08,167.0685475,25.71738591,30.13778753,223.06,1972.829956
10/07/2014,89.44997954,327.92,114.9461341,571.1,166.4301367,25.44042945,30.18005652,219.46,1964.680054
11/07/2014,89.62410745,346.2,116.1246968,579.18,166.6961412,25.27227731,30.2307793,218.13,1967.569946
14/07/2014,90.78182276,355.32,117.4211159,584.87,168.345369,25.40086424,30.31531727,226.7,1977.099976
15/07/2014,89.71823065,354.44,117.0403495,584.78,167.1306152,25.2129295,30.63656157,219.58,1973.280029
16/07/2014,89.20996539,355.9,115.5172837,582.66,170.562073,25.28216861,30.81409132,217.16,1981.569946
17/07/2014,87.61918925,352.454,114.1211401,573.7299,170.6773416,25.2426034,30.45903183,215.4,1958.119995
18/07/2014,88.8805342,358.66,115.7167328,595.08,170.6862084,25.2426034,30.57738499,220.0201,1978.219971
21/07/2014,88.41838931,359.76,116.3150801,589.47,169.2231838,25.17336429,30.39985525,220.54,1973.630005
22/07/2014,89.15349147,360.84,117.620565,594.74,172.0960322,25.88553805,30.38294765,219.58,1983.530029
23/07/2014,91.47833442,358.14,114.8736071,595.98,171.6881586,25.99434238,30.33222487,222.49,1987.01001
24/07/2014,91.3277373,358.61,112.7793917,593.35,173.115716,25.69760331,30.01098057,223.54,1987.97998
25/07/2014,91.93106699,324.01,111.6914876,589.02,172.3709035,26.1031467,30.04479576,223.57,1978.339966
28/07/2014,93.20078891,320.41,111.5645655,590.6,173.5945241,26.5284727,30.73800714,224.82,1978.910034
29/07/2014,92.59840045,320,110.8936913,585.61,172.5216393,26.70651614,30.93244448,225.01,1969.949951
30/07/2014,92.3819171,322.51,110.8664937,587.42,172.0162308,27.05271172,30.73800714,228.92,1970.069946
31/07/2014,89.9817756,312.99,109.2255717,571.6,169.9502627,26.5482553,30.08706474,223.3,1930.670044
01/08/2014,90.48062854,307.06,109.134913,566.07,167.7158251,25.97455977,29.86726601,233.27,1925.150024
04/08/2014,89.97236328,313.65,108.726949,573.15,168.1502991,26.16249452,29.97716538,238.52,1938.98999
05/08/2014,89.52998425,312.32,109.9417752,565.07,165.8981278,25.59869029,29.68128247,238.49,1920.209961
06/08/2014,89.37938714,313.89,107.9472843,566.374,165.8715273,24.86673392,29.2670464,248.9301,1920.23999
07/08/2014,89.36997482,311.45,109.3155531,563.36,164.3820105,24.20401667,28.92044071,252.39,1909.569946
08/08/2014,89.61591252,316.8,110.0361747,568.77,166.4601987,24.46119052,29.14023944,248.13,1931.589966
11/08/2014,90.79830528,318.33,110.1912451,567.88,167.2094167,24.54032094,29.14023944,259.32,1936.920044
12/08/2014,90.779387,319.32,109.890226,562.73,167.0934663,24.54032094,29.283954,259.96,1933.75
13/08/2014,91.98069805,326.28,111.2676166,574.78,167.6375413,24.67879917,29.32622298,260.31,1946.719971
14/08/2014,92.22663574,333.21,113.2105582,574.65,167.5751065,24.86673392,29.51220653,261.38,1955.180054
15/08/2014,92.68067456,333.63,112.343988,573.48,167.1291434,24.7678209,29.36849197,262.01,1955.060059
18/08/2014,93.79685334,334.53,114.0041541,582.16,168.8951574,24.87662522,29.29240779,259.94,1971.73999
19/08/2014,95.09275581,335.13,114.5514616,586.86,169.528425,24.83706001,29.14869324,256.76,1981.599976
20/08/2014,95.13059238,335.78,116.1660188,584.49,169.5551828,24.93597303,29.19096223,255.71,1986.51001
21/08/2014,95.14005152,332.91,116.3028456,583.37,170.5630595,24.82716871,29.283954,254.34,1992.369995
22/08/2014,95.84002804,331.59,116.2663585,582.56,169.8316799,24.8073861,29.16560083,256.78,1988.400024
25/08/2014,96.04812916,334.02,117.0599544,580.2,170.5006246,24.61945136,29.17405463,262.55,1997.920044
26/08/2014,95.43233901,341.83,117.3062427,577.86,172.1328497,24.59966876,29.16560083,261.74,2000.02002
27/08/2014,96.60621855,343.18,116.9413711,571,171.4728243,24.3622775,29.37694577,263.25,2000.119995
28/08/2014,96.71972825,340.02,115.9470958,569.2,171.2498427,24.58977745,29.36849197,263.86,1996.73999
29/08/2014,96.95620681,339.04,115.6643202,571.6,171.5174206,24.20401667,29.55447551,269.7,2003.369995
02/09/2014,97.71293818,342.38,114.4602437,577.33,170.8573951,23.57097332,29.45302994,284.12,2002.280029
03/09/2014,93.58875221,339,114.8798461,577.94,171.2052464,23.66988634,29.56292931,281.19,2000.719971
04/09/2014,92.81310255,345.95,114.4420001,581.98,170.0725,23.86771239,29.53756792,286.04,1997.650024
05/09/2014,93.61712964,346.38,113.7396221,586.08,170.5363017,23.9171689,29.71509766,277.39,2007.709961
08/09/2014,93.04012197,342.34,116.7406917,589.72,169.5908599,23.9369515,29.5967445,282.11,2001.540039
09/09/2014,92.69013371,329.75,116.9504929,581.01,169.4570709,24.02597322,29.30086159,278.48,1988.439941
10/09/2014,95.53733549,331.33,116.9596147,583.1,170.8395566,23.9171689,29.33467678,281.1,1995.689941
11/09/2014,95.9440786,330.52,116.4305507,581.35,171.0001034,23.97651671,29.46148374,280.31,1997.449951
12/09/2014,96.16163887,331.19,115.8011471,575.62,170.6076558,23.51162551,29.16560083,279.2,1985.540039
15/09/2014,96.13326144,323.89,115.2173524,573.1,171.0803767,22.95771258,29.32622298,253.86,1984.130005
16/09/2014,95.4049075,327.76,116.1386534,579.95,172.1060919,22.57195179,29.54602171,260.74,1998.97998
17/09/2014,96.08596573,324,116.5400122,584.77,171.9633837,22.59173439,29.6051983,261.38,2001.569946
18/09/2014,96.28460772,325,117.2879992,589.27,172.8107137,23.13575602,29.72355146,263.82,2011.359985
19/09/2014,95.49949892,331.32,117.9903771,596.08,173.0336952,22.86869086,29.98561918,259.32,2010.400024
22/09/2014,95.59409034,324.5,117.3153645,587.37,172.2398809,22.26532142,30.01098057,250.03,1994.290039
23/09/2014,97.0886348,323.63,116.1933841,581.13,170.9109107,22.50271267,29.80808943,250.41,1982.77002
24/09/2014,96.24677115,328.21,117.2879992,587.99,171.5263398,22.56206049,29.9264426,252.14,1998.300049
25/09/2014,92.576624,321.93,115.9744611,575.06,168.5829832,22.14662579,29.65592108,246.95,1965.98999
26/09/2014,95.30085693,323.21,117.3883389,577.1,169.5195058,22.34445184,29.82499703,246.6,1982.849976
29/09/2014,94.69547184,321.82,117.4613132,576.36,169.1448967,21.91912584,29.78272804,245.26,1977.800049
30/09/2014,95.30085693,322.44,116.1933841,577.36,169.3143627,22.53238658,29.79118184,242.68,1972.290039
01/10/2014,93.81577162,317.46,113.7213786,568.27,166.9418388,21.86966933,29.55447551,240.24,1946.160034
02/10/2014,94.49682985,318.41,113.265289,570.08,166.709938,21.760865,29.56292931,251.42,1946.170044
03/10/2014,94.23197387,322.74,115.2629614,575.28,168.2797282,21.88945193,29.89262741,255.21,1967.900024
06/10/2014,94.23197387,322.2,115.1717435,577.35,168.609741,21.93890844,30.00252677,260.62,1964.819946
07/10/2014,93.40902851,316.98,112.4899367,563.74,165.6396265,21.56303896,29.86726601,259.57,1935.099976
08/10/2014,95.34815264,322.7,114.0041541,572.5,168.8951574,21.7311911,30.10397234,259.28,1968.890015
09/10/2014,95.55625377,315.37,111.9791163,560.88,166.2728942,21.15749556,29.68431526,257.01,1928.209961
10/10/2014,95.28193865,311.39,110.8297706,544.49,165.8358503,20.53434352,29.33317362,236.91,1906.130005
13/10/2014,94.41169757,306.45,109.8719824,533.21,163.686308,20.04966971,28.96490312,224.59,1874.73999
