months,quote
1,-0.4846
2,-0.4842
3,-0.4845
4,-0.484
5,-0.4835
6,-0.4823
7,-0.4809
8,-0.4792
9,-0.476995
10,-0.4742
11,-0.4712
12,-0.4575
18,-0.4442
30,-0.351
36,-0.334005
48,-0.2616
60,-0.194
72,-0.1263
84,-0.0606
96,0.0033
108,0.0663
120,0.125
132,0.17825
144,0.2284
180,0.352
240,0.4485
300,0.4604
360,0.43225
420,0.40285
480,0.37415
600,0.3221
