date,adj_close
2018-03-27,13.44
2018-03-26,12.89
2018-03-23,13.07
2018-03-22,13.35
2018-03-21,13.88
2018-03-20,13.64
2018-03-19,14.07
2018-03-16,14.31
2018-03-15,14.36
2018-03-14,14.27
2018-03-13,14.43
2018-03-12,15.1
2018-03-09,14.94
2018-03-08,14.52
2018-03-07,14.51
2018-03-06,14.64
2018-03-05,14.42
2018-03-02,14.12
2018-03-01,14.02
2018-02-28,14.11
2018-02-27,14.5
2018-02-26,14.65
2018-02-23,14.49
2018-02-22,14.62
2018-02-21,14.49
2018-02-20,14.74
2018-02-16,15.05
2018-02-15,14.85
2018-02-14,14.9
2018-02-13,14.67
2018-02-12,14.82
2018-02-09,14.94
2018-02-08,14.45
2018-02-07,15.25
2018-02-06,15.27
2018-02-05,14.91
2018-02-02,15.64
2018-02-01,16.02
2018-01-31,16.17
2018-01-30,15.95
2018-01-29,16.28
2018-01-26,16.13
2018-01-25,16.18
2018-01-24,16.44
2018-01-23,16.89
2018-01-22,16.17
2018-01-19,16.26
2018-01-18,16.77
2018-01-17,17.35
2018-01-16,18.21
2018-01-12,18.76
2018-01-11,19.02
2018-01-10,18.929
2018-01-09,18.56
2018-01-08,18.28
2018-01-05,18.54
2018-01-04,18.53
2018-01-03,18.15
2018-01-02,17.98
2017-12-29,17.45
2017-12-28,17.36
2017-12-27,17.38
2017-12-26,17.43
2017-12-22,17.5
2017-12-21,17.47
2017-12-20,17.45
2017-12-19,17.59
2017-12-18,17.76
2017-12-15,17.82
2017-12-14,17.64
2017-12-13,17.76
2017-12-12,17.91
2017-12-11,17.65
2017-12-08,17.71
2017-12-07,17.71
2017-12-06,17.66
2017-12-05,17.76
2017-12-04,17.95
2017-12-01,17.88
2017-11-30,18.29
2017-11-29,18.48
2017-11-28,18.41
2017-11-27,18.12
2017-11-24,18.19
2017-11-22,18.15
2017-11-21,17.83
2017-11-20,17.98
2017-11-17,18.21
2017-11-16,18.25
2017-11-15,18.26
2017-11-14,17.9
2017-11-13,19.02
2017-11-10,20.49
2017-11-09,19.99
2017-11-07,20.21
2017-11-06,20.13
2017-11-03,20.14
2017-11-02,19.94
2017-11-01,20.02
2017-10-31,20.16
2017-10-30,20.41
2017-10-27,20.79
2017-10-26,21.32
2017-10-25,21.525
2017-10-24,21.89
2017-10-23,22.32
2017-10-20,23.83
2017-10-19,23.58
2017-10-18,23.12
2017-10-17,23.19
2017-10-16,23.36
2017-10-13,22.98
2017-10-12,23.05
2017-10-11,23.07
2017-10-10,23.36
2017-10-09,23.43
2017-10-06,24.39
2017-10-05,24.54
2017-10-04,24.48
2017-10-03,24.8
2017-10-02,24.57
2017-09-29,24.18
2017-09-28,24.24
2017-09-27,24.37
2017-09-26,24.93
2017-09-25,25.11
2017-09-22,24.87
2017-09-21,24.75
2017-09-20,24.32
2017-09-19,24.2
2017-09-18,24.46
2017-09-15,23.93
2017-09-14,24.019106330161
2017-09-13,23.870595779892
2017-09-12,23.672581712867
2017-09-11,23.484468349193
2017-09-08,23.583475382706
2017-09-07,23.781489449731
2017-09-06,24.672552751345
2017-09-05,24.514141497724
2017-09-01,24.890368225072
2017-08-31,24.306226727348
2017-08-30,24.038907736864
2017-08-29,24.197318990484
2017-08-28,24.227021100538
2017-08-25,24.24682250724
2017-08-24,24.058709143566
2017-08-23,24.147815473728
2017-08-22,24.355730244104
2017-08-21,24.24682250724
2017-08-18,24.306226727348
2017-08-17,24.504240794373
2017-08-16,24.850765411667
2017-08-15,24.890368225072
2017-08-14,25.1081836988
2017-08-11,24.94977244518
2017-08-10,25.048779478693
2017-08-09,25.454708316094
2017-08-08,25.306197765825
2017-08-07,25.375502689284
2017-08-04,25.524013239553
2017-08-03,25.504211832851
2017-08-02,25.26659495242
2017-08-01,25.18738932561
2017-07-31,25.355701282582
2017-07-28,25.276495655772
2017-07-27,25.533913942904
2017-07-26,25.335899875879
2017-07-25,25.18738932561
2017-07-24,25.177488622259
2017-07-21,25.65272238312
2017-07-20,26.424977244518
2017-07-19,26.6724948283
2017-07-18,26.622991311543
2017-07-17,26.553686388084
2017-07-14,26.514083574679
2017-07-13,26.523984278031
2017-07-12,26.316069507654
2017-07-11,26.118055440629
2017-07-10,25.781431526686
2017-07-07,25.89033926355
2017-07-06,26.04875051717
2017-07-05,27.078423665701
2017-07-03,27.177430699214
2017-06-30,26.741799751758
2017-06-29,26.75170045511
2017-06-28,26.811104675217
2017-06-27,26.939813818784
2017-06-26,27.335841952834
2017-06-23,27.296239139429
2017-06-22,27.276437732727
2017-06-21,27.504153909806
2017-06-20,27.8506785271
2017-06-19,28.514025651634
2017-06-16,28.712039718659
2017-06-15,28.652635498552
2017-06-14,28.171491173868
2017-06-13,27.935828647492
2017-06-12,28.416972972176
2017-06-09,27.435045778942
2017-06-08,27.091371261311
2017-06-07,27.179744708702
2017-06-06,27.42522650701
2017-06-05,27.474322866672
2017-06-02,27.376130147348
2017-06-01,27.219021796431
2017-05-31,26.885166550732
2017-05-30,26.865528006867
2017-05-26,26.953901454258
2017-05-25,26.993178541987
2017-05-24,27.327033787687
2017-05-23,27.768901024642
2017-05-22,27.670708305318
2017-05-19,27.543057770198
2017-05-18,26.983359270055
2017-05-17,26.914624366529
2017-05-16,27.533238498266
2017-05-15,27.670708305318
2017-05-12,27.759081752709
2017-05-11,28.34823806865
2017-05-10,28.1813104458
2017-05-09,28.407153700244
2017-05-08,28.544623507296
2017-05-05,28.691912586281
2017-05-04,28.672274042417
2017-05-03,28.701731858214
2017-05-02,28.466069331838
2017-05-01,28.416972972176
2017-04-28,28.466069331838
2017-04-27,28.554442779229
2017-04-26,28.731189674011
2017-04-25,28.917755840725
2017-04-24,29.015948560048
2017-04-21,29.015948560048
2017-04-20,29.722936139176
2017-04-19,29.457815797003
2017-04-18,29.300707446086
2017-04-17,29.104322007439
2017-04-13,29.025767831981
2017-04-12,29.23197254256
2017-04-11,29.497092884733
2017-04-10,29.467635068936
2017-04-07,29.447996525071
2017-04-06,29.389080893477
2017-04-05,29.428357981206
2017-04-04,29.477454340868
2017-04-03,29.339984533815
2017-03-31,29.261430358357
2017-03-30,29.330165261883
2017-03-29,29.143599095169
2017-03-28,29.084683463575
2017-03-27,28.907936568793
2017-03-24,29.182876182898
2017-03-23,29.084683463575
2017-03-22,28.996310016184
2017-03-21,28.858840209131
2017-03-20,29.202514726763
2017-03-17,29.339984533815
2017-03-16,29.212333998695
2017-03-15,29.222153270627
2017-03-14,29.006129288116
2017-03-13,29.320345989951
2017-03-10,29.732755411109
2017-03-09,29.123960551304
2017-03-08,29.261430358357
2017-03-07,29.320345989951
2017-03-06,29.457815797003
2017-03-03,29.575647060191
2017-03-02,29.644381963718
2017-03-01,29.644381963718
2017-02-28,29.271249630289
2017-02-27,29.398900165409
2017-02-24,29.644381963718
2017-02-23,29.477454340868
2017-02-22,29.545644089839
2017-02-21,29.730730551332
2017-02-17,29.58460966068
2017-02-16,29.662540802361
2017-02-15,29.565126875259
2017-02-14,29.496937126288
2017-02-13,29.263143701245
2017-02-10,28.951419134521
2017-02-09,28.824781029289
2017-02-08,28.668918745927
2017-02-07,28.795556851159
2017-02-06,28.89297077826
2017-02-03,28.9319363491
2017-02-02,28.91245356368
2017-02-01,28.92219495639
2017-01-31,28.9319363491
2017-01-30,29.185212559564
2017-01-27,29.233919523115
2017-01-26,29.535902697129
2017-01-25,29.58460966068
2017-01-24,29.224178130405
2017-01-23,28.980643312651
2017-01-20,29.740471944042
2017-01-19,30.402886648331
2017-01-18,30.422369433751
2017-01-17,30.461335004592
2017-01-13,30.549007538983
2017-01-12,30.578231717113
2017-01-11,30.656162858794
2017-01-10,30.558748931693
2017-01-09,30.646421466084
2017-01-06,30.792542356736
2017-01-05,30.704869822345
2017-01-04,30.880214891127
2017-01-03,30.870473498417
2016-12-30,30.782800964026
2016-12-29,30.889956283838
2016-12-28,30.880214891127
2016-12-27,31.07504274533
2016-12-23,31.05555995991
2016-12-22,30.997111603649
2016-12-21,31.064790886626
2016-12-20,31.180812514588
2016-12-19,30.861753037694
2016-12-16,30.697389064749
2016-12-15,30.223634083907
2016-12-14,30.45567733983
2016-12-13,30.687720595752
2016-12-12,30.803742223714
2016-12-09,30.726394471739
2016-12-08,30.48468274682
2016-12-07,30.552362029798
2016-12-06,30.136617862936
2016-12-05,30.078607048956
2016-12-02,30.300981835882
2016-12-01,30.349324180865
2016-11-30,29.740210634069
2016-11-29,30.020596234975
2016-11-28,30.213965614911
2016-11-25,30.397666525849
2016-11-23,30.300981835882
2016-11-22,30.146286331933
2016-11-21,29.846563793033
2016-11-18,29.653194413098
2016-11-17,29.769216041059
2016-11-16,29.720873696075
2016-11-15,29.730542165072
2016-11-14,29.498498909149
2016-11-11,29.691868289085
2016-11-10,29.401814219182
2016-11-09,28.647673637434
2016-11-08,28.444635788501
2016-11-07,28.338282629537
2016-11-04,27.497125826818
2016-11-03,27.342430322869
2016-11-02,27.545468171802
2016-11-01,27.922538462676
2016-10-31,28.135244780605
2016-10-28,28.251266408566
2016-10-27,27.680826737756
2016-10-26,27.912869993679
2016-10-25,27.70016367575
2016-10-24,27.961212338663
2016-10-21,28.019223152643
2016-10-20,28.106239373614
2016-10-19,28.096570904618
2016-10-18,28.019223152643
2016-10-17,27.893533055685
2016-10-14,27.932206931673
2016-10-13,27.816185303711
2016-10-12,27.941875400669
2016-10-11,27.961212338663
2016-10-10,27.903201524682
2016-10-07,28.115907842611
2016-10-06,28.29960875355
2016-10-05,28.521983540476
2016-10-04,28.521983540476
2016-10-03,28.65734210643
2016-09-30,28.638005168437
2016-09-29,28.550988947466
2016-09-28,28.908722300346
2016-09-27,28.889385362353
2016-09-26,28.560657416463
2016-09-23,28.89905383135
2016-09-22,29.044080866301
2016-09-21,28.860379955363
2016-09-20,28.686347513421
2016-09-19,28.454304257498
2016-09-16,28.696015982417
2016-09-15,28.763695265395
2016-09-14,28.495055016085
2016-09-13,28.638969435358
2016-09-12,29.253004290924
2016-09-09,28.888421095432
2016-09-08,29.780690494925
2016-09-07,29.799879084162
2016-09-06,29.790284789543
2016-09-02,30.02054786038
2016-09-01,29.934199208817
2016-08-31,29.972576387289
2016-08-30,30.097302217326
2016-08-29,30.087707922708
2016-08-26,29.962982092671
2016-08-25,29.943793503435
2016-08-24,29.953387798053
2016-08-23,29.962982092671
2016-08-22,30.049330744235
2016-08-19,29.982170681908
2016-08-18,30.154867985035
2016-08-17,30.02054786038
2016-08-16,29.924604914198
2016-08-15,29.972576387289
2016-08-12,29.972576387289
2016-08-11,30.02054786038
2016-08-10,30.001359271144
2016-08-09,30.030142154999
2016-08-08,30.001359271144
2016-08-05,30.010953565762
2016-08-04,29.905416324962
2016-08-03,29.867039146489
2016-08-02,29.790284789543
