Date,AAP,ABMD,AOS,APA,ATO,CBOE,Brent,COP,CVX,DVA,DVN,ET,FFIV,FTI,HII,HSIC,IFF,IPGP,IRM,IVZ,JNPR,LNC,LPG,MOS,NCLH,NI,NOV,PRGO,PVH,QCOM,SEE,UNM,WU,XRAY,SP500,rf
2014-03-27,120.38678741455078,25.770000457763672,20.31198501586914,70.73863220214844,38.33509063720703,53.10689163208008,101.27999877929688,55.20124816894531,84.98048400878906,68.38999938964844,54.18258285522461,12.964818954467773,106.30999755859375,35.96855163574219,89.02556610107422,45.53333282470703,79.6344223022461,67.81999969482422,14.81942081451416,26.370832443237305,21.401622772216797,41.604427337646484,,42.48594665527344,32.59000015258789,11.095638275146484,61.76821517944336,142.13780212402344,121.94281768798828,62.429443359375,28.158300399780273,27.3331298828125,12.493245124816895,42.994136810302734,1849.0400390625,0.00032999999821186065
2014-03-28,121.12529754638672,25.700000762939453,20.5947265625,71.54873657226562,38.44356155395508,52.420501708984375,101.66999816894531,56.04570388793945,85.57991790771484,68.44999694824219,55.103919982910156,13.22241497039795,105.13999938964844,36.4554557800293,88.97213745117188,46.18039321899414,80.43760681152344,69.04000091552734,14.913002014160156,26.597097396850586,21.64664077758789,41.73823928833008,,42.8959846496582,31.84000015258789,11.092501640319824,63.100582122802734,141.3166046142578,122.66605377197266,62.6110725402832,28.301918029785156,27.412731170654297,12.401439666748047,43.260414123535156,1857.6199951171875,0.00032999999821186065
2014-03-31,122.92298126220703,26.040000915527344,20.653064727783203,71.48841094970703,39.328094482421875,53.21973419189453,101.58000183105469,56.04570388793945,85.8759994506836,68.8499984741211,56.058753967285156,13.233741760253906,106.62999725341797,36.371986389160156,91.07398223876953,46.811763763427734,81.74488830566406,71.08000183105469,15.17724323272705,27.005830764770508,21.76493263244629,42.37379455566406,,43.62007141113281,32.27000045776367,11.148984909057617,63.26307678222656,142.70059204101562,123.61719512939453,62.27938461303711,29.504722595214844,28.105207443237305,12.516197204589844,43.78346633911133,1872.3399658203125,0.0002800000086426735
2014-04-01,123.65174865722656,26.200000762939453,20.810134887695312,72.18649291992188,39.16953659057617,52.95644760131836,99.73999786376953,56.01383972167969,85.94099426269531,69.33999633789062,56.68693542480469,13.480011940002441,109.66000366210938,36.78238296508789,92.01802062988281,47.02745056152344,82.37718963623047,72.98999786376953,15.325872421264648,27.341585159301758,22.331022262573242,42.56613540649414,,43.44559097290039,33.189998626708984,11.208605766296387,63.41743087768555,143.7986297607422,124.75657653808594,63.25868225097656,29.594491958618164,28.20071792602539,12.829865455627441,44.6964111328125,1885.52001953125,0.00029999999329447744
2014-04-02,123.2728042602539,26.0,21.00760269165039,72.59156036376953,39.55340576171875,51.950347900390625,99.62000274658203,56.47592544555664,86.19377136230469,69.08000183105469,56.862823486328125,13.562105178833008,109.2300033569336,37.561439514160156,92.76612854003906,46.95686340332031,82.39427185058594,74.43000030517578,15.474513053894043,27.50215721130371,22.263429641723633,43.126441955566406,,43.20132064819336,33.25,11.114465713500977,63.734283447265625,145.04417419433594,124.56834411621094,63.290245056152344,30.025346755981445,28.216644287109375,12.84516716003418,45.31455612182617,1890.9000244140625,0.00017999999225139617
2014-04-03,122.82579803466797,25.969999313354492,20.994138717651367,73.56539154052734,39.87882995605469,51.480201721191406,100.29000091552734,55.92619323730469,85.96988677978516,69.55999755859375,57.382102966308594,13.57909107208252,106.97000122070312,37.547515869140625,93.06004333496094,46.937255859375,82.6933364868164,74.94000244140625,15.089162826538086,26.7503719329834,22.643644332885742,43.109710693359375,,43.11407470703125,33.279998779296875,11.117608070373535,63.498661041259766,140.95680236816406,123.3794174194336,63.614051818847656,29.756067276000977,28.176847457885742,12.646257400512695,45.13386154174805,1888.77001953125,0.00014999999664723872
2014-04-04,118.20040130615234,25.110000610351562,20.693458557128906,73.66023254394531,39.76200866699219,50.53053665161133,101.13999938964844,55.9421501159668,85.79656982421875,68.06999969482422,56.963340759277344,13.426227569580078,104.44000244140625,38.0413932800293,89.78257751464844,45.67843246459961,81.04425811767578,74.25,15.18825626373291,26.020483016967773,21.883216857910156,42.13127899169922,,42.8959846496582,32.56999969482422,11.073673248291016,64.14862060546875,139.35130310058594,123.81536102294922,62.018760681152344,29.06489372253418,27.69131088256836,12.53149700164795,44.55375671386719,1865.0899658203125,0.00019999999552965166
2014-04-07,114.77020263671875,24.1200008392334,20.101057052612305,72.47090148925781,39.76200866699219,48.58414840698242,100.44000244140625,55.35261154174805,84.74217987060547,67.3499984741211,56.57804870605469,13.038415908813477,105.3499984741211,37.11626052856445,88.90089416503906,44.686275482177734,79.88220977783203,74.44999694824219,15.133198738098145,25.27599334716797,21.401622772216797,40.500545501708984,,42.11953353881836,31.25,10.913640975952148,62.710636138916016,135.62371826171875,121.4375228881836,61.663394927978516,28.490419387817383,27.102296829223633,12.248428344726562,43.79296875,1845.0400390625,0.00019999999552965166
2014-04-08,115.79053497314453,23.809999465942383,20.101057052612305,73.41031646728516,40.04573059082031,48.0576057434082,102.55999755859375,55.8226432800293,85.07438659667969,68.45999908447266,56.82930374145508,13.129000663757324,107.44999694824219,37.2345085144043,87.48480987548828,45.20000076293945,79.54895782470703,74.19999694824219,15.11117935180664,25.64094352722168,21.33402442932129,40.44181823730469,,42.128273010253906,31.43000030517578,11.023466110229492,63.4661865234375,136.80474853515625,122.3490219116211,62.30308532714844,28.364749908447266,27.134143829345703,12.332585334777832,43.85002136230469,1851.9599609375,0.0002500000037252903
2014-04-09,118.14210510253906,24.579999923706055,20.32096290588379,72.09172058105469,40.48799133300781,49.24235916137695,103.5999984741211,56.99375534057617,86.01322174072266,69.22000122070312,57.27322769165039,13.70364761352539,109.75,37.13017654418945,89.30168151855469,45.79999923706055,80.59994506835938,74.8499984741211,15.419463157653809,25.947490692138672,21.384714126586914,41.11304473876953,,42.29402542114258,31.700000762939453,11.036018371582031,63.98609924316406,138.08729553222656,124.02340698242188,63.12440872192383,28.96615982055664,27.420686721801758,12.546797752380371,44.030723571777344,1872.1800537109375,0.0002800000086426735
