Dates,ticker,return,momentum,dividend_yield,Industrials,United States,market_intercept,Healthcare,Technology,Utilities,Financial Services,Basic Materials,Consumer Defensive,Ireland,Energy,Communication Services,Consumer Cyclical,value,size,trading_activity,growth,leverage,profitability
2019-09-30,GOOG,-0.005320767,0.778625191,-0.408279703,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.585289405,1.06334184,-0.153949527,0.30671655,-2.186166476,0.108976284
2019-10-07,GOOG,-0.024414681,0.720342178,-0.402913863,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.592453117,1.094996485,-0.346621178,0.299773048,-2.104860913,0.073582968
2019-10-14,GOOG,-0.015645869,0.748682194,-0.397010274,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.58862847,1.071694967,-0.484566277,0.309149645,-2.154006534,0.054761111
2019-10-21,GOOG,-0.006782559,0.795432384,-0.401917478,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.606132603,1.07370629,-0.355623775,0.308883226,-2.154006534,0.055337189
2019-10-28,GOOG,-0.029114942,0.775268141,-0.402295156,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.587270271,1.07511181,-0.339772141,0.305256784,-2.154006534,0.020895925
2019-11-04,GOOG,-0.017761517,0.764226498,-0.40392989,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.579567227,1.071734654,0.353327042,0.313482942,-2.152975787,0.046877186
2019-11-11,GOOG,0.030060723,0.766044693,-0.412406341,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.593109584,1.020348818,-0.190979414,0.265232662,-2.119049508,0.197917775
2019-11-18,GOOG,-0.007399176,0.803568305,-0.415742616,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.629345418,1.147499432,-0.239823242,0.32365233,-2.098769418,0.259587933
2019-11-25,GOOG,-0.026959831,0.871832429,-0.407315559,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.573007147,1.060860029,-0.310556161,0.317645628,-2.152975787,0.157393117
2019-12-02,GOOG,-0.005363669,0.86105953,-0.407371935,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.576052008,1.061245522,-0.543322217,0.3175412,-2.152975787,0.157393117
2019-12-09,GOOG,-0.001304958,0.861929382,-0.402950143,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.578698183,1.076048438,-0.145730454,0.318184272,-2.15631487,0.160709431
2019-12-16,GOOG,-0.001702807,0.90073198,-0.402391306,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.575531379,1.075913032,-0.26861967,0.317398615,-2.15631487,0.150044504
2019-12-23,GOOG,-0.006466277,0.943493613,-0.402634861,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.583541082,1.074638177,-0.33599253,0.318078042,-2.15631487,0.161032798
2019-12-30,GOOG,-0.0495157,0.894786534,-0.403709567,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.577497395,1.074686181,-0.127181162,0.318193077,-2.15631487,0.161032798
2020-01-06,GOOG,-0.034819975,0.848916673,-0.403553552,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.579795799,1.086680795,-0.378767793,0.318364242,-2.135603629,0.190608149
2020-01-13,GOOG,0.009283806,0.818365097,-0.40403514,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.591748487,1.096646367,0.062329342,0.320113019,-2.135603629,0.190639641
2020-01-20,GOOG,0.022393664,0.842209987,-0.410108624,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.595287852,1.102337273,-0.190917846,0.318805544,-2.135603629,0.190857329
2020-01-27,GOOG,-0.030893563,0.841777603,-0.411104225,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.60142022,1.102359407,-0.193964716,0.319691433,-2.135603629,0.20182487
2020-02-03,GOOG,-0.027675383,0.884179504,-0.422081964,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.61076387,1.09458435,-0.423333812,0.316853103,-2.139011843,0.1860763
2020-02-10,GOOG,0.023708218,0.887691301,-0.422925125,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.586300585,1.093835414,0.241306641,0.306029045,-2.139011843,0.20534545
2020-02-17,GOOG,0.103319378,0.968544799,-0.427803355,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.579772283,1.103844679,-0.270047456,0.307735532,-2.139011843,0.204663226
2020-02-24,GOOG,0.031028991,0.975463512,-0.426594395,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.56895897,1.103280949,-0.246665628,0.312596448,-2.139011843,0.170474202
2020-03-02,GOOG,0.062510959,0.817497683,-0.436892469,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.587502032,1.103248079,-0.313074447,0.313018967,-2.139011843,0.144889731
2020-03-09,GOOG,0.128805031,0.852684169,-0.566950583,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.553924652,1.040198394,-0.295892284,0.264220061,-2.112625516,0.119595362
