kappa,theta,sigma,T,P
0.1,0.04000000000000001,0.039999999999999994,30,1.6435235292870063
0.1,0.04000000000000001,0.045,1,0.9700540748658817
0.1,0.04000000000000001,0.045,2,0.9492482310063607
0.1,0.04000000000000001,0.045,5,0.9298703061017503
0.1,0.04000000000000001,0.045,10,1.003695699095123
0.1,0.04000000000000001,0.045,15,1.1859299508808119
0.1,0.04000000000000001,0.045,30,2.5151342207567167
0.1,0.045000000000000005,0.01,1,0.9697454658509469
0.1,0.045000000000000005,0.01,2,0.9395763014936964
0.1,0.045000000000000005,0.01,5,0.8507501925070003
0.1,0.045000000000000005,0.01,10,0.7129327052831563
0.1,0.045000000000000005,0.01,15,0.591996124475012
0.1,0.045000000000000005,0.01,30,0.33043204974954377
0.1,0.045000000000000005,0.015,1,0.9697502714933468
0.1,0.045000000000000005,0.015,2,0.9401441703606733
0.1,0.045000000000000005,0.015,5,0.8553811116173031
0.1,0.045000000000000005,0.015,10,0.7280750414467546
0.1,0.045000000000000005,0.015,15,0.6178637754759425
0.1,0.045000000000000005,0.015,30,0.37448184214134017
0.1,0.045000000000000005,0.019999999999999997,1,0.9697569994327155
0.1,0.045000000000000005,0.019999999999999997,2,0.9409397634191872
0.1,0.045000000000000005,0.019999999999999997,5,0.8619067779320081
0.1,0.045000000000000005,0.019999999999999997,10,0.7498161517286915
0.1,0.045000000000000005,0.019999999999999997,15,0.6559883886711643
0.1,0.045000000000000005,0.019999999999999997,30,0.44618894378545443
0.1,0.045000000000000005,0.024999999999999998,1,0.9697656497090621
0.1,0.045000000000000005,0.024999999999999998,2,0.9419636581505602
0.1,0.045000000000000005,0.024999999999999998,5,0.8703701254616982
0.1,0.045000000000000005,0.024999999999999998,10,0.7787256522472294
0.1,0.045000000000000005,0.024999999999999998,15,0.7084824858328045
0.1,0.045000000000000005,0.024999999999999998,30,0.5589156685672675
0.1,0.045000000000000005,0.03,1,0.9697762223738277
0.1,0.045000000000000005,0.03,2,0.9432165982274769
0.1,0.045000000000000005,0.03,5,0.8808271566549727
0.1,0.045000000000000005,0.03,10,0.8155774571761744
0.1,0.045000000000000005,0.03,15,0.7783799368103588
0.1,0.045000000000000005,0.03,30,0.7360599789379987
0.1,0.045000000000000005,0.034999999999999996,1,0.9697887174898857
0.1,0.045000000000000005,0.034999999999999996,2,0.9446994944142934
0.1,0.045000000000000005,0.034999999999999996,5,0.8933475604197034
0.1,0.045000000000000005,0.034999999999999996,10,0.8613843707191197
0.1,0.045000000000000005,0.034999999999999996,15,0.8699287738900983
0.1,0.045000000000000005,0.034999999999999996,30,1.0191064847948388
0.1,0.045000000000000005,0.039999999999999994,1,0.9698031351315427
0.1,0.045000000000000005,0.039999999999999994,2,0.9464134256705165
0.1,0.045000000000000005,0.039999999999999994,5,0.9080154866010313
0.1,0.045000000000000005,0.039999999999999994,10,0.9174445052794746
0.1,0.045000000000000005,0.039999999999999994,15,0.9890205297384369
0.1,0.045000000000000005,0.039999999999999994,30,1.4834242194522018
0.1,0.045000000000000005,0.045,1,0.9698194753845389
0.1,0.045000000000000005,0.045,2,0.9483596404593281
0.1,0.045000000000000005,0.045,5,0.9249304889727299
0.1,0.045000000000000005,0.045,10,0.9854025064586928
0.1,0.045000000000000005,0.045,15,1.1438167853726706
0.1,0.045000000000000005,0.045,30,2.270129360339698
0.1,0.05,0.01,1,0.9695109410041184
0.1,0.05,0.01,2,0.938696764832524
0.1,0.05,0.01,5,0.8462306908669474
0.1,0.05,0.01,10,0.6999389111219242
0.1,0.05,0.01,15,0.5709739462665285
0.1,0.05,0.01,30,0.29824392334337557
0.1,0.05,0.015,1,0.9695157454843139
0.1,0.05,0.015,2,0.9392641021178864
0.1,0.05,0.015,5,0.850837008811481
0.1,0.05,0.015,10,0.7148052655585349
0.1,0.05,0.015,15,0.5959230196844408
0.1,0.05,0.015,30,0.33800272675045545
0.1,0.05,0.019999999999999997,1,0.9695224717965866
0.1,0.05,0.019999999999999997,2,0.9400589504223432
0.1,0.05,0.019999999999999997,5,0.857328008358113
0.1,0.05,0.019999999999999997,10,0.7361501259423445
0.1,0.05,0.019999999999999997,15,0.6326938023737109
0.1,0.05,0.019999999999999997,30,0.4027246789404228
0.1,0.05,0.024999999999999998,1,0.969531119980936
0.1,0.05,0.024999999999999998,2,0.9410818866866371
0.1,0.05,0.024999999999999998,5,0.8657463954359834
0.1,0.05,0.024999999999999998,10,0.7645327266619837
0.1,0.05,0.024999999999999998,15,0.6833237990458352
0.1,0.05,0.024999999999999998,30,0.5044704408604899
0.1,0.05,0.03,1,0.9695416900887909
0.1,0.05,0.03,2,0.9423336538873008
0.1,0.05,0.03,5,0.8761478749878427
0.1,0.05,0.03,10,0.800712876658888
0.1,0.05,0.03,15,0.7507391448034069
0.1,0.05,0.03,30,0.6643587270087872
0.1,0.05,0.034999999999999996,1,0.9695541821830094
0.1,0.05,0.034999999999999996,2,0.9438151619361247
0.1,0.05,0.034999999999999996,5,0.8886017657081484
0.1,0.05,0.034999999999999996,10,0.8456849209339098
0.1,0.05,0.034999999999999996,15,0.8390370214658355
0.1,0.05,0.034999999999999996,30,0.919833038472711
0.1,0.05,0.039999999999999994,1,0.9695685963378801
0.1,0.05,0.039999999999999994,2,0.9455274887826024
0.1,0.05,0.039999999999999994,5,0.9031917704067466
0.1,0.05,0.039999999999999994,10,0.9007233127074208
0.1,0.05,0.039999999999999994,15,0.9538997494352751
0.1,0.05,0.039999999999999994,30,1.3389205421427803
0.1,0.05,0.045,1,0.9695849326391225
0.1,0.05,0.045,2,0.9474718817212305
0.1,0.05,0.045,5,0.9200169139907144
0.1,0.05,0.045,10,0.9674427225407969
0.1,0.05,0.045,15,1.103199086529992
0.1,0.05,0.045,30,2.048990972388671
0.1,0.05500000000000001,0.01,1,0.9692764728751667
0.1,0.05500000000000001,0.01,2,0.937818051504951
0.1,0.05500000000000001,0.01,5,0.8417351985015961
0.1,0.05500000000000001,0.01,10,0.6871819397147239
0.1,0.05500000000000001,0.01,15,0.5506982796623586
0.1,0.05500000000000001,0.01,30,0.26919131445835826
0.1,0.05500000000000001,0.015,1,0.9692812761934387
0.1,0.05500000000000001,0.015,2,0.9383848577063121
0.1,0.05500000000000001,0.015,5,0.8463170459709088
0.1,0.05500000000000001,0.015,10,0.7017773424218855
0.1,0.05500000000000001,0.015,15,0.5747613948014173
0.1,0.05500000000000001,0.015,30,0.3050771237330738
0.1,0.05500000000000001,0.019999999999999997,1,0.969288000879009
0.1,0.05500000000000001,0.019999999999999997,2,0.9391789619538757
0.1,0.05500000000000001,0.019999999999999997,5,0.8527735629122414
0.1,0.05500000000000001,0.019999999999999997,10,0.7227331748930013
0.1,0.05500000000000001,0.019999999999999997,15,0.6102264224112183
0.1,0.05500000000000001,0.019999999999999997,30,0.3634943655297131
0.1,0.05500000000000001,0.024999999999999998,1,0.9692966469718672
0.1,0.05500000000000001,0.024999999999999998,2,0.9402009406483106
0.1,0.05500000000000001,0.024999999999999998,5,0.861147228384945
0.1,0.05500000000000001,0.024999999999999998,10,0.7505984790027663
0.1,0.05500000000000001,0.024999999999999998,15,0.6590585140486092
0.1,0.05500000000000001,0.024999999999999998,30,0.45532884478680197
0.1,0.05500000000000001,0.03,1,0.9693072145234297
0.1,0.05500000000000001,0.03,2,0.94145153607065
0.1,0.05500000000000001,0.03,5,0.8714934514063823
0.1,0.05500000000000001,0.03,10,0.7861192155398888
0.1,0.05500000000000001,0.03,15,0.7240798958021782
0.1,0.05500000000000001,0.03,30,0.5996420546998859
0.1,0.05500000000000001,0.034999999999999996,1,0.9693197035965395
0.1,0.05500000000000001,0.034999999999999996,2,0.9429316572809161
0.1,0.05500000000000001,0.034999999999999996,5,0.8838811824243087
0.1,0.05500000000000001,0.034999999999999996,10,0.8302716067368725
0.1,0.05500000000000001,0.034999999999999996,15,0.8092422558254153
0.1,0.05500000000000001,0.034999999999999996,30,0.8302300410111422
0.1,0.05500000000000001,0.039999999999999994,1,0.9693341142654671
0.1,0.05500000000000001,0.039999999999999994,2,0.9446423812195354
0.1,0.05500000000000001,0.039999999999999994,5,0.8983936795880929
0.1,0.05500000000000001,0.039999999999999994,10,0.8843068778394273
0.1,0.05500000000000001,0.039999999999999994,15,0.920026131523605
0.1,0.05500000000000001,0.039999999999999994,30,1.2084932918473765
0.1,0.05500000000000001,0.045,1,0.9693504466159114
0.1,0.05500000000000001,0.045,2,0.9465849540134126
0.1,0.05500000000000001,0.045,5,0.9151294417476525
0.1,0.05500000000000001,0.045,10,0.9498102706889991
0.1,0.05500000000000001,0.045,15,1.0640237493315665
0.1,0.05500000000000001,0.045,30,1.8493941703401575
0.11,0.02,0.01,1,0.9709642013542622
0.11,0.02,0.01,2,0.9441078039559735
0.11,0.02,0.01,5,0.8740967467669348
0.11,0.02,0.01,10,0.7821057430972003
0.11,0.02,0.01,15,0.7092926318784591
0.11,0.02,0.01,30,0.5478469929752533
0.11,0.02,0.015,1,0.9709689892891102
0.11,0.02,0.015,2,0.9446247456717396
0.11,0.02,0.015,5,0.8783627646975269
0.11,0.02,0.015,10,0.7967917872871683
0.11,0.02,0.015,15,0.7363619791175768
0.11,0.02,0.015,30,0.6098677202037
0.11,0.02,0.019999999999999997,1,0.970975692437562
0.11,0.02,0.019999999999999997,2,0.9453489396307877
0.11,0.02,0.019999999999999997,5,0.8843701905576993
0.11,0.02,0.019999999999999997,10,0.8178166964129843
0.11,0.02,0.019999999999999997,15,0.7760034057924458
0.11,0.02,0.019999999999999997,30,0.7086675681920135
0.11,0.02,0.024999999999999998,1,0.9709843108392826
0.11,0.02,0.024999999999999998,2,0.9462808620151184
0.11,0.02,0.024999999999999998,5,0.8921544356080339
0.11,0.02,0.024999999999999998,10,0.845665953314421
0.11,0.02,0.024999999999999998,15,0.8301226456228417
0.11,0.02,0.024999999999999998,30,0.8595675557347157
0.11,0.02,0.03,1,0.9709948445452706
0.11,0.02,0.03,2,0.9474211259527002
0.11,0.02,0.03,5,0.9017616213542048
0.11,0.02,0.03,10,0.880995051797173
0.11,0.02,0.03,15,0.9014201436602376
0.11,0.02,0.03,30,1.0882984671629332
0.11,0.02,0.034999999999999996,1,0.9710072936178586
0.11,0.02,0.034999999999999996,2,0.9487704821898316
0.11,0.02,0.034999999999999996,5,0.9132490352644507
0.11,0.02,0.034999999999999996,10,0.924655254157052
0.11,0.02,0.034999999999999996,15,0.9936160985523341
0.11,0.02,0.034999999999999996,30,1.4382903485046517
0.11,0.02,0.039999999999999994,1,0.9710216581307141
0.11,0.02,0.039999999999999994,2,0.9503298199150143
0.11,0.02,0.039999999999999994,5,0.9266857004021585
0.11,0.02,0.039999999999999994,10,0.9777278006585403
0.11,0.02,0.039999999999999994,15,1.111773563690806
0.11,0.02,0.039999999999999994,30,1.9841552972992564
0.11,0.02,0.045,1,0.9710379381688394
0.11,0.02,0.045,2,0.9521001677356056
0.11,0.02,0.045,5,0.9421530669073837
0.11,0.02,0.045,10,1.0415684972529085
0.11,0.02,0.045,15,1.2627588755971269
0.11,0.02,0.045,30,2.8571648684463242
0.11,0.025,0.01,1,0.9707067474690262
0.11,0.025,0.01,2,0.9431419268722755
0.11,0.025,0.01,5,0.8690673436603877
0.11,0.025,0.01,10,0.7668674685120241
0.11,0.025,0.01,15,0.6826574418125883
0.11,0.025,0.01,30,0.4926377297879403
0.11,0.025,0.015,1,0.9707115341343397
0.11,0.025,0.015,2,0.9436583397266607
0.11,0.025,0.015,5,0.8733088156538029
0.11,0.025,0.015,10,0.7812673749566655
0.11,0.025,0.015,15,0.708710287291687
0.11,0.025,0.015,30,0.5484083202144523
0.11,0.025,0.019999999999999997,1,0.9707182355054329
0.11,0.025,0.019999999999999997,2,0.9443817927932533
0.11,0.025,0.019999999999999997,5,0.8792816758135591
0.11,0.025,0.019999999999999997,10,0.8018826421111558
0.11,0.025,0.019999999999999997,15,0.7468631084368874
0.11,0.025,0.019999999999999997,30,0.6372516166830978
0.11,0.025,0.024999999999999998,1,0.97072685162196
0.11,0.025,0.024999999999999998,2,0.9453127617668918
0.11,0.025,0.024999999999999998,5,0.8870211316499043
0.11,0.025,0.024999999999999998,10,0.8291892938375216
0.11,0.025,0.024999999999999998,15,0.7989500753036046
0.11,0.025,0.024999999999999998,30,0.7729446628096158
0.11,0.025,0.03,1,0.9707373825349064
0.11,0.025,0.03,2,0.9464518591482795
0.11,0.025,0.03,5,0.8965730392932615
0.11,0.025,0.03,10,0.8638300525295505
0.11,0.025,0.03,15,0.8675702264659628
0.11,0.025,0.03,30,0.9786252239574862
0.11,0.025,0.034999999999999996,1,0.9707498283065878
0.11,0.025,0.034999999999999996,2,0.9477998349156577
0.11,0.025,0.034999999999999996,5,0.9079943565895797
0.11,0.025,0.034999999999999996,10,0.9066395947863984
0.11,0.025,0.034999999999999996,15,0.9563040605471439
0.11,0.025,0.034999999999999996,30,1.2933466846558803
0.11,0.025,0.039999999999999994,1,0.9707641890106523
0.11,0.025,0.039999999999999994,2,0.9493575773478365
0.11,0.025,0.039999999999999994,5,0.9213537094553508
0.11,0.025,0.039999999999999994,10,0.9586780943656361
0.11,0.025,0.039999999999999994,15,1.0700245043488368
0.11,0.025,0.039999999999999994,30,1.7842021107020565
0.11,0.025,0.045,1,0.9707804647320798
0.11,0.025,0.045,2,0.9511261139998484
0.11,0.025,0.045,5,0.9367320793804613
0.11,0.025,0.045,10,1.0212749411698705
0.11,0.025,0.045,15,1.215340051338625
0.11,0.025,0.045,30,2.569234170250956
0.11,0.030000000000000002,0.01,1,0.9704493618484109
0.11,0.030000000000000002,0.01,2,0.942177037936898
0.11,0.030000000000000002,0.01,5,0.8640668788786905
0.11,0.030000000000000002,0.01,10,0.7519260911359308
0.11,0.030000000000000002,0.01,15,0.6570224501386931
0.11,0.030000000000000002,0.01,30,0.44299217833176696
0.11,0.030000000000000002,0.015,1,0.9704541472445267
0.11,0.030000000000000002,0.015,2,0.9426929224709583
0.11,0.030000000000000002,0.015,5,0.8682839461680509
0.11,0.030000000000000002,0.015,10,0.7660454348429361
0.11,0.030000000000000002,0.015,15,0.6820969652927541
0.11,0.030000000000000002,0.015,30,0.4931424892925701
0.11,0.030000000000000002,0.019999999999999997,1,0.9704608468387326
0.11,0.030000000000000002,0.019999999999999997,2,0.9434156354030712
0.11,0.030000000000000002,0.019999999999999997,5,0.8742224395125162
0.11,0.030000000000000002,0.019999999999999997,10,0.7862590413469076
0.11,0.030000000000000002,0.019999999999999997,15,0.7188170806729723
0.11,0.030000000000000002,0.019999999999999997,30,0.5730326054023568
0.11,0.030000000000000002,0.024999999999999998,1,0.9704694606706722
0.11,0.030000000000000002,0.024999999999999998,2,0.9443456519414121
0.11,0.030000000000000002,0.024999999999999998,5,0.8819173638443453
0.11,0.030000000000000002,0.024999999999999998,10,0.8130336598275382
0.11,0.030000000000000002,0.024999999999999998,15,0.7689480900122928
0.11,0.030000000000000002,0.024999999999999998,30,0.6950511891473217
0.11,0.030000000000000002,0.03,1,0.9704799887913174
0.11,0.030000000000000002,0.03,2,0.9454835839600603
0.11,0.030000000000000002,0.03,5,0.8914143114456331
