type,strike,price
put,7.5,0.39
put,10.0,0.87
put,12.5,1.61
put,15.0,2.69
put,17.5,4.03
put,20.0,5.63
put,22.5,7.4
put,25.0,9.38
put,30.0,13.7
put,35.0,18.3
call,7.5,9.58
call,10.0,7.35
call,12.5,5.25
call,15.0,3.61
call,17.5,2.44
call,20.0,1.68
call,22.5,1.25
call,25.0,1.00
call,30.0,0.63
