Date,AMZN,BAC,COST,DIS,DPZ,KO,MCD,MSFT,NAT,SBUX
1962-01-02,,,,0.05839844420552254,,0.0489131323993206,,,,
1962-01-03,,,,0.05918224900960922,,0.04782334342598915,,,,
1962-01-04,,,,0.05918224900960922,,0.048186760395765305,,,,
1962-01-05,,,,0.05937836319208145,,0.04709697514772415,,,,
1962-01-08,,,,0.05918224900960922,,0.046612709760665894,,,,
1962-01-09,,,,0.060358282178640366,,0.04746013879776001,,,,
1962-01-10,,,,0.060946058481931686,,0.047702278941869736,,,,
1962-01-11,,,,0.0627097561955452,,0.048186760395765305,,,,
1962-01-12,,,,0.06075053662061691,,0.04782334342598915,,,,
1962-01-15,,,,0.06075053662061691,,0.04733911156654358,,,,
1962-01-16,,,,0.05918224900960922,,0.04649164527654648,,,,
1962-01-17,,,,0.05722302570939064,,0.04503888264298439,,,,
1962-01-18,,,,0.05839844420552254,,0.0441308319568634,,,,
1962-01-19,,,,0.05957449600100517,,0.045523159205913544,,,,
1962-01-22,,,,0.060554370284080505,,0.0458863228559494,,,,
1962-01-23,,,,0.060358282178640366,,0.044917620718479156,,,,
1962-01-24,,,,0.05957449600100517,,0.04443337023258209,,,,
1962-01-25,,,,0.0587906613945961,,0.044070180505514145,,,,
1962-01-26,,,,0.05839844420552254,,0.04358590021729469,,,,
1962-01-29,,,,0.05839844420552254,,0.04358590021729469,,,,
1962-01-30,,,,0.0587906613945961,,0.04340421035885811,,,,
1962-01-31,,,,0.0587906613945961,,0.045159969478845596,,,,
1962-02-01,,,,0.05957449600100517,,0.045523159205913544,,,,
1962-02-02,,,,0.05957449600100517,,0.046007364988327026,,,,
1962-02-05,,,,0.05957449600100517,,0.046007364988327026,,,,
1962-02-06,,,,0.05918224900960922,,0.045402076095342636,,,,
1962-02-07,,,,0.05996667221188545,,0.04564419761300087,,,,
1962-02-08,,,,0.061534333974123,,0.04576526954770088,,,,
1962-02-09,,,,0.06192596256732941,,0.046007364988327026,,,,
1962-02-12,,,,0.06192596256732941,,0.04564419761300087,,,,
1962-02-13,,,,0.06192596256732941,,0.04564419761300087,,,,
1962-02-14,,,,0.06114216148853302,,0.04479655995965004,,,,
1962-02-15,,,,0.061534333974123,,0.0445544458925724,,,,
1962-02-16,,,,0.0627097561955452,,0.0445544458925724,,,,
1962-02-19,,,,0.06173042207956314,,0.045281022787094116,,,,
1962-02-20,,,,0.06231814622879028,,0.04503888264298439,,,,
1962-02-21,,,,0.061534333974123,,0.04479655995965004,,,,
1962-02-23,,,,0.06114216148853302,,0.04431229829788208,,,,
1962-02-26,,,,0.05957449600100517,,0.04503888264298439,,,,
1962-02-27,,,,0.05918224900960922,,0.045281022787094116,,,,
1962-02-28,,,,0.05859454721212387,,0.04443337023258209,,,,
1962-03-01,,,,0.060162197798490524,,0.04419126361608505,,,,
1962-03-02,,,,0.05977059155702591,,0.04467549920082092,,,,
1962-03-05,,,,0.05996667221188545,,0.044070180505514145,,,,
1962-03-06,,,,0.05918224900960922,,0.04503888264298439,,,,
1962-03-07,,,,0.0587906613945961,,0.04443337023258209,,,,
1962-03-08,,,,0.05977059155702591,,0.0445544458925724,,,,
1962-03-09,,,,0.05957449600100517,,0.044070180505514145,,,,
1962-03-12,,,,0.06075053662061691,,0.04503888264298439,,,,
1962-03-13,,,,0.061889879405498505,,0.045757826417684555,,,,
1962-03-14,,,,0.061300065368413925,,0.04581886902451515,,,,
1962-03-15,,,,0.061693284660577774,,0.045575130730867386,,,,
1962-03-16,,,,0.061693284660577774,,0.045575130730867386,,,,
1962-03-19,,,,0.061693284660577774,,0.04581886902451515,,,,
1962-03-20,,,,0.06090744584798813,,0.04630624130368233,,,,
1962-03-21,,,,0.05992499738931656,,0.046915534883737564,,,,
1962-03-22,,,,0.059335123747587204,,0.047402918338775635,,,,
1962-03-23,,,,0.059335123747587204,,0.048256050795316696,,,,
1962-03-26,,,,0.0589425154030323,,0.04764658212661743,,,,
1962-03-27,,,,0.05815669149160385,,0.047281041741371155,,,,
1962-03-28,,,,0.05776342377066612,,0.046915534883737564,,,,
1962-03-29,,,,0.05874589830636978,,0.047037385404109955,,,,
1962-03-30,,,,0.05874589830636978,,0.04630624130368233,,,,
1962-04-02,,,,0.05815669149160385,,0.046915534883737564,,,,
1962-04-03,,,,0.05776342377066612,,0.04545329883694649,,,,
1962-04-04,,,,0.05815669149160385,,0.04600152373313904,,,,
1962-04-05,,,,0.05776342377066612,,0.04606252536177635,,,,
1962-04-06,,,,0.058353323489427567,,0.04679363965988159,,,,
1962-04-09,,,,0.05854929983615875,,0.046915534883737564,,,,
1962-04-10,,,,0.058353323489427567,,0.046915534883737564,,,,
1962-04-11,,,,0.05776342377066612,,0.04581886902451515,,,,
1962-04-12,,,,0.05501266568899155,,0.044965703040361404,,,,
1962-04-13,,,,0.05462007597088814,,0.04630624130368233,,,,
1962-04-16,,,,0.05540591850876808,,0.04642808809876442,,,,
1962-04-17,,,,0.05658498778939247,,0.04667180776596069,,,,
1962-04-18,,,,0.05737084150314331,,0.046915534883737564,,,,
1962-04-19,,,,0.05737084150314331,,0.04697651043534279,,,,
1962-04-23,,,,0.05815669149160385,,0.047037385404109955,,,,
1962-04-24,,,,0.0589425154030323,,0.047281041741371155,,,,
1962-04-25,,,,0.05874589830636978,,0.04667180776596069,,,,
1962-04-26,,,,0.05737084150314331,,0.04642808809876442,,,,
1962-04-27,,,,0.05619174987077713,,0.046915534883737564,,,,
1962-04-30,,,,0.05403082072734833,,0.04508751630783081,,,,
